"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.2,-1.24423986628735,-4.80977418691442,0.266186550155294,-5.34908942409722,-2.17683973670148,2.07664902794829,-4.1526707377197,0.157619304981758,0.0182623150916084,2.74930127910234,0.0046294142736259,0.0190641287041629,2160674.48280701,0.0182616241890063,432.369372002841,0,375.432142469316,0,432.368916344775,0,323.460790627098,0.251188643150958
2,1,0.2,-1.85967270506782,-4.21788182110157,-3.79702835058993,-5.31986913994258,-2.70008287212105,2.28501816165338,-3.79874539766482,0.291183502252706,0.0198246609264104,0.172222196044422,0.00462979980362319,0.0190607747225619,24031.4228145605,0.0182612199621341,322.163245676909,0,375.432063671092,0,432.370572048554,0,323.460790627098,0.251188643150958
3,1,0.2,-1.16495222950549,-3.8140475351262,-1.84832068442854,-5.54112244728335,-4.35918948642631,2.78243484964851,-3.73890841187737,0.291206238303466,0.0198244904259201,0.172213013982937,0.00462912073273487,0.0190612549305256,47902.2545974027,0.0182631560241747,322.163243326106,0,375.432064878996,0,432.369806899522,0,323.460790627098,0.251188643150958
4,1,0.2,-0.277660682344783,-2.06693327217936,-1.87771141428054,-6.02472433449656,-3.71187294023826,1.0659007076277,-4.03672530175095,0.400402685460822,0.0182625927829355,2.92548912818676,0.00462963532340062,0.0190595596967108,52111.7936964256,0.0182635384440005,432.368818564294,0,375.432077374049,0,432.369777125507,0,323.460790627098,0.251188643150958
5,1,0.2,-0.363355554544749,-3.73270993144309,-2.52826508475967,-6.50937839225749,-3.64294145886171,2.13258641820134,-4.5048381591776,0.291256223968114,0.0198236036999271,0.172185443545847,0.00462981800110874,0.0190605857150803,51879.8908238982,0.0182635398837733,322.163242275406,0,375.432064500185,0,432.36977581912,0,323.460790627098,0.251188643150958
1,2,0.2,-2.78502270972222,-4.14390297068645,-2.56170199742555,-3.65411138822393,-4.63190752803689,1.20008150703157,-4.1648893489678,0.30472341989963,0.0203843889823263,0.17252634214319,486.927124716886,0.0187597515656254,53053.6056997793,0.0187603969800136,323.943154500351,0,421.557950381661,0,421.557536797702,0,327.039984697094,0.251188643150958
2,2,0.2,0.124418405337241,-3.35728765239187,-2.10250719095771,-4.30881454571615,-3.64060214089606,3.29364771970851,-5.50025703951413,3.24000029429203,0.0187589854863489,2.1041674132643,1007.640305561,0.0187586644567549,55532.5321560634,0.0187587611197675,421.557790900272,0,421.55770200545,0,421.557725297783,0,327.039984697094,0.251188643150958
3,2,0.2,-0.362097916989793,-4.0116344903091,-1.35363646448167,-3.16129923625378,-4.44788057835068,3.6119072309316,-3.35380427805037,0.692781634053965,0.018758700911783,2.4210765154653,6146.93317107217,0.0187553647761487,49284.3059613983,0.0187594983104821,421.557689392062,0,421.557624670816,0,421.557567331167,0,327.039984697094,0.251188643150958
4,2,0.2,-0.338986377679792,-3.27489367503086,-2.5080350412073,-5.39971061790025,-4.88700019806911,2.79321434047491,-3.19446267423123,13671.4805954347,0.0187582673378725,1.23994289676953,0.00682714594567134,0.0193860745876519,53236.9969307977,0.0187590319706274,421.557333763774,0,391.065075564742,0,421.557512521801,0,327.039984697094,0.251188643150958
5,2,0.2,-2.36871204926784,-3.7476528538099,-3.66584575513888,-3.79894616780755,-3.28434553645507,1.64572606997812,-4.17483217480069,0.304834040939977,0.0203814797926653,0.172452554170672,4596.81263518698,0.0187581788835299,48739.3344833687,0.0187583312433284,323.943196788063,0,421.557480526924,0,421.557557552331,0,327.039984697094,0.251188643150958
