"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.5,-4.44936352978821,-3.7773812053064,-1.15951916241212,-4.96810954578415,-4.59460178558738,1.24665230981178,-5.20580967270901,0.0146035076335013,0.0201356363465045,0.513937333665571,0.00122593443562433,0.0194159602378442,428117.140640961,0.0178970057207443,342.610187620792,0,737.618034409957,0,1604.30187726316,0,343.328724453497,0.0158113883008419
2,1,0.5,-5.22063251379378,-2.00597077477091,-2.36067936922819,-5.00812516748432,-4.01489609432313,3.57790224360991,-3.46052148464657,0.0145698280106,0.0201368235228194,0.514344081402718,0.00122580312199866,0.0194150047263278,433223.532413803,0.0178964455667153,342.610509185429,0,737.61803108142,0,1604.30189092047,0,343.328724453497,0.0158113883008419
3,1,0.5,-2.61527992074944,-2.7611438629504,-2.89954284666063,-5.69682283356257,-2.29121441011408,1.46747250878105,-2.94848847606477,0.0145863777329545,0.0201337212069108,0.514127005220439,0.0012255477633967,0.0194140895353738,420971.041983751,0.0178996134869302,342.610167613655,0,737.618099467195,0,1604.30193805067,0,343.328724453497,0.0158113883008419
4,1,0.5,-3.64092143686123,-3.44980315990429,-3.04704225782378,-4.92893893440818,-4.30106649920509,-0.153876390711143,-5.30649806663086,0.0145987739611567,0.0201321604557171,0.513979560033181,0.00122582911341249,0.0194153331769868,0.384758011818439,0.0199731699394551,342.610189765505,0,737.618029484607,0,863.732579083412,0,343.328724453497,0.0158113883008419
5,1,0.5,-2.39773975980675,-1.83679804407669,-3.61513854798649,-5.96617664546869,-5.03521638044785,2.72648245696611,-4.74658233055377,0.0145712531378862,0.0201286973309978,0.514322767865951,0.00122569087189091,0.0194141430282258,433081.086276565,0.0178970514450546,342.610552254616,0,737.618055434257,0,1604.30188341683,0,343.328724453497,0.0158113883008419
1,2,0.5,-3.44917917628358,-3.75676412245836,-2.59908525336923,-5.01524539671311,-2.39441383262511,4.44981980495426,-3.83267118629171,0.0170253704262618,0.0201693852702536,0.486192683479139,0.00131872009546862,0.0193577577592642,42531.31892262,0.0178561961173183,331.770752707585,0,748.881541424547,0,1599.38093170467,0,332.517156834599,0.0158113883008419
2,2,0.5,-5.90693771698046,-3.99443253157716,-1.31579672021093,-5.84743191426561,-3.75824301382543,0.734553705661912,-2.86701281526879,0.0170177439014203,0.0201637811902858,0.486278268252265,0.00131893184027636,0.0193604417969688,2788112.20411606,0.0178559960527802,331.770968475449,0,748.881474307962,0,1599.3738880989,0,332.517156834599,0.0158113883008419
3,2,0.5,-3.7196707810634,-4.3143928691083,-2.12036748136563,-5.15378119593464,-4.24518062507161,-0.0548229642768798,-4.78858975211882,0.0170358021141457,0.0201709204488929,0.486102500180701,0.00131900593370785,0.0193591775595645,0.375038119024251,0.0199947371810399,331.770869908787,0,748.881479081339,0,826.764945345688,0,332.517156834599,0.0158113883008419
4,2,0.5,-4.14380042355004,-4.02342826836551,-3.44397057002841,-4.35865649577582,-4.87123475837794,2.23561402606374,-5.44996288691647,0.0170203933216513,0.0201731049441375,0.486202995224006,20975.8930499767,0.0178587388556386,42300.5261194292,0.0178557968874246,331.77079820753,0,1599.37463372195,0,1599.38096023185,0,332.517156834599,0.0158113883008419
5,2,0.5,-4.42748915193562,-4.53317281948558,-2.00013600747139,-4.19799009457507,-2.1486626198936,0.909543994097365,-2.54379497221269,0.0170232789706629,0.0201676955095757,0.4862003577025,440.521672240242,0.0178560641556706,3207242.56899956,0.0178542401059546,331.770748380909,0,1599.37899157813,0,1599.37393181074,0,332.517156834599,0.0158113883008419
