"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0,-2.56178688419111,-2.29164212956762,-3.12905458672251,-3.99206817730502,-5.73685475305131,2.45701002739516,-4.61777098218255,0.0989614483936209,0.0199968122421528,0.00321469830823062,429.824544673529,0.0174441815981762,1965042.1543407,0.0174430102082427,319.585953145105,0,4313.81166114845,0,4313.80188977898,0,320.124277510942,0.1
2,1,0,-2.22151742273062,-5.0524073707113,-2.96452377709536,-4.6462038074818,-4.92326469975774,3.04062343735493,-4.22281360756194,0.0990265349211071,0.0199893214006909,0.00307764318265195,0.000476277987072449,0.0164391447828002,411312.81144392,0.0174433622103426,319.585476237448,0,2950.23072451643,0,4313.80369490525,0,320.124277510942,0.1
3,1,0,-2.57966452593632,-4.61680496117108,-1.24320314305755,-4.69225138923902,-3.32211674976289,3.67372036855624,-3.18413447723105,0.0989786493567772,0.0199896795128356,0.00314345762204744,2274.22412443717,0.0174441742220794,419477.754838526,0.0174420481032554,319.585516984911,0,4313.80446980413,0,4313.8036836335,0,320.124277510942,0.1
4,1,0,-1.84556432097985,-2.5853337568297,-3.2980139197456,-4.30547034226821,-5.98171969704698,3.20391381167439,-4.73044001793837,0.0986460763667322,0.0199809466825176,0.00368384530299422,2161.42858028868,0.0174413899775604,11726.1981360371,0.0174338577205286,319.588473364201,0,4313.80450433076,0,4313.86947763631,0,320.124277510942,0.1
5,1,0,0.0103833048302325,-2.95428957394759,-2.21622073807654,-4.76399797364388,-3.72825313310887,1.53942855412435,-3.58970148529824,407729.903749162,0.0174435529783873,0.00152324943351313,0.000476241790940089,0.0164387964733096,41457.6088294888,0.0174468912105826,4313.80369539483,0,2950.23071796435,0,4313.81821343306,0,320.124277510942,0.1
1,2,0,-0.905823733070913,-4.76787477149166,-1.84531817578907,-6.67900695981609,-2.08357737169765,1.80450437269649,-4.82725420460021,0.100228175713766,0.0201102681616551,2.84225023463567e-06,0.000460406538505392,0.0164106490061357,41946.5520256783,0.0175782310198369,324.152771671805,0,2972.1315737375,0,4363.22733602316,0,324.202230514055,0.1
2,2,0,-1.84138239654834,-3.90507062986323,-1.96480052076454,-4.87444258238578,-1.59886370034728,2.13799765255488,-4.60985679590053,0.100218473130509,0.0201096914409816,4.68520191591503e-07,230.483243268704,0.0175798130645822,2341658.96355691,0.0175811670695984,324.152642899829,0,4363.22249694588,0,4363.21147734392,0,324.202230514055,0.1
3,2,0,-3.04241075846481,-2.60164627316889,-2.47376152254627,-4.73361842702873,-2.20960011382673,2.28644635318438,-4.07419530169447,0.100218198698188,0.0201107005196125,3.49982291173852e-06,2264.36255949665,0.0175782064982327,21363815.2559914,0.0175795050226458,324.152803214512,0,4363.21391956194,0,4363.21109536709,0,324.202230514055,0.1
4,2,0,-0.988789077714754,-3.80405071676696,-1.39584025912088,-5.02688547549226,-3.38509323870329,3.09645111479552,-3.11252307880908,0.270520399438292,0.0175792474973307,2.61024195976862,0.000460418260086813,0.0164143624743327,41961.393726899,0.017585247863868,4363.21644243924,0,2972.13157125515,0,4363.22776777741,0,324.202230514055,0.1
5,2,0,-1.97997687758086,-3.79115161414535,-2.95110924539813,-5.30571530476249,-3.80047759617346,3.72601291667006,-6.79754832266192,0.100225049568309,0.0201100802186481,4.68152818956531e-07,0.000460414543839573,0.0164123132209777,43551.0008019435,0.0175721556131376,324.152632405119,0,2972.13153926194,0,4363.22965414646,0,324.202230514055,0.1
