"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,1,-10.3157475622399,-5.09465473975898,-1.90658604357594,-4.93656654040952,-2.72797817276027,-0.732945744889669,-2.90258119475969,2.553042493544e-05,0.0191241714443126,1.09007901597686,4400.72960604472,0.0339044350680805,0.0910520212553178,0.0442743532982105,209.617346110547,0,4072.72194140178,0,1150.46318983973,0,211.485393157579,5e-05
2,1,1,-11.3859973749733,-4.69896149782538,-2.00564086679803,-3.77041307130925,-2.72172150277079,2.33976535590207,-3.04712236177055,1.5307527175463e-05,0.0186201913551805,1.15904760901267,820.407875821314,0.0339118905230222,721321.846137377,0.0339065028006686,210.595093734007,0,4072.72487934482,0,4072.72115329747,0,211.485393157579,5e-05
3,1,1,-8.20565582895463,-3.78286806691648,-4.29742498152217,-4.97476926645727,-2.88385587557821,3.59654889679034,-5.44278230585348,2.54292110075385e-05,0.0190968039879823,1.09056791384719,3782.8171856017,0.0339111050919362,72299665.6909351,0.0339115761533102,209.617948598601,0,4072.72190515928,0,4072.72038512702,0,211.485393157579,5e-05
4,1,1,-11.7139575113894,-3.82231014480883,-0.618588650751467,-6.23092637101466,-3.87110888242901,1.71900928958652,-3.14912665356311,2.5578255572384e-05,0.0191250584817273,1.08981758723528,4.9662227904867e-05,0.0197316310399016,48833.4574780987,0.033908172568008,209.617336572966,0,211.39564675321,0,4072.73252844909,0,211.485393157579,5e-05
5,1,1,-10.0907508555073,-5.0999551143077,-1.24035780359632,-7.17928566626067,-4.24022511781077,2.89401014281738,-5.10221834381034,2.55912410587932e-05,0.0191238985466287,1.0897480532216,4.96482376771584e-05,0.0197239781128501,79352.5595188034,0.0339095255369647,209.617334155558,0,211.395694917962,0,4072.72793651304,0,211.485393157579,5e-05
1,2,1,-9.70649385695908,-4.33813709848428,-0.414012787639982,-4.9723404849757,-3.14638557646039,2.83963283613491,-5.17123690363066,5.58555471822922e-05,0.0200368135347954,0.98407660150931,484.506366215208,0.0341447934232557,694355.888370794,0.0341416192135506,213.660165090099,0,4065.69066435173,0,4065.68523386646,0,213.808662447338,5e-05
2,2,1,-11.0642136416695,-3.33207458591338,-2.81955959399927,-6.507948380621,-3.18684190213847,2.36618181301363,-3.781244614259,5.57426334997134e-05,0.0200420413280937,0.984383632578847,4.96728066179408e-05,0.0199301876824829,81035.0844641112,0.0341441594427545,213.660162726181,0,213.720419353282,0,4065.69244924613,0,213.808662447338,5e-05
3,2,1,-9.92771545927845,-3.03146666479469,-3.63143991637832,-7.29555447565709,-4.84285596021648,1.92260871631923,-3.26287730466311,5.58620493779563e-05,0.0200434482257321,0.984097768914868,4.96548795989826e-05,0.0199200566775251,856807.616453879,0.0341409305208386,213.660159460367,0,213.720449082245,0,4065.68506205398,0,213.808662447338,5e-05
4,2,1,-11.0127356760275,-3.38512669749619,-2.41581586395889,-3.93417041843306,-3.39111120478912,2.03112625933906,-2.96603554847371,5.58994162321816e-05,0.02004074619821,0.9839783604435,3892.14404518604,0.0341488886888287,734185.66330488,0.0341493075255975,213.660162978639,0,4065.68586682238,0,4065.68513555216,0,213.808662447338,5e-05
5,2,1,-8.6784488952895,-4.49825550536077,-1.25806870511538,-7.10301292583705,-5.25860098755529,1.62327114678927,-3.25875622005508,5.57612697264865e-05,0.0200362054334696,0.984316225719621,4.9669172209296e-05,0.0199324708344719,4111034.66164432,0.0341500753835949,213.660142166665,0,213.720399905801,0,4065.68448083258,0,213.808662447338,5e-05
1,3,1,-11.0948235505098,-4.07714436748436,-3.93340547896445,-5.08077463094172,-3.24411339939986,2.12772408890338,-3.55355251306383,8.54370851273692e-05,0.0202522063760362,0.927544517474475,499.565124293728,0.0338487140914838,5672483.49304577,0.0338382556285905,211.831807138005,0,4100.88525725676,0,4100.87920054053,0,212.411443218129,5e-05
2,3,1,-9.1472287965751,-3.06818961878487,-3.75551642123454,-5.10842781193826,-3.85170848273853,1.73300008409568,-3.8543028052284,7.0782797355924e-05,0.0200362862973151,0.952937541614944,7873.35012899527,0.033847231538233,5714146.53680591,0.0338462291913559,211.668780464245,0,4100.88098414574,0,4100.87902910226,0,212.411443218129,5e-05
3,3,1,-9.02961905653225,-4.69829151633068,-3.42448055786044,-5.43800695804771,-5.67574881575727,0.852197367970344,-3.42616947237501,7.08522458181213e-05,0.0200425739898874,0.952829985890651,5.003862056225e-05,0.019708965777344,4122901.79364123,0.033845495457644,211.668745948491,0,212.216589396198,0,4100.87888977704,0,212.411443218129,5e-05
4,3,1,-8.13308475795364,-2.54965187440564,-0.918440807747528,-4.13673241324281,-5.85737089314252,1.89475971362042,-4.41973485614463,7.1009508004873e-05,0.0200498754653077,0.952542516619626,4114.81536389038,0.0338436780663037,92962.6626210508,0.0338503789442597,211.66878924015,0,4100.88057899163,0,4100.88679931886,0,212.411443218129,5e-05
5,3,1,-11.1248496515026,-2.55277997770336,-2.59887162235511,-6.47677550280437,-3.92482476905943,1.31108310572377,-5.50766089814648,7.07336417919299e-05,0.0200390801771619,0.953036092941371,5.00419009288396e-05,0.019715783167948,89012.172714213,0.0338431737713478,211.668792382162,0,212.216556227905,0,4100.88687712684,0,212.411443218129,5e-05
1,4,1,-10.3310745263113,-4.02837068056803,-2.73856352509069,-4.71414412739093,-2.41402020957093,0.361951979734128,-5.18214890023383,4.4941149072291e-05,0.0193376263708017,1.01248112530529,3884.78245612038,0.033753874652124,79744.3395822313,0.0337503042486467,214.237617761734,0,4123.96885759033,0,4123.97498756212,0,214.743106454764,5e-05
2,4,1,-10.0299164053972,-3.82072593158086,-3.05784020024111,-6.40685090935092,-5.43252219321053,1.24193185758904,-4.4238755683567,2.26298796497455e-05,0.0186330247434809,1.10507208699929,4.92766504950016e-05,0.0194154421306732,4582894.09410756,0.0337568809350508,215.840327151461,0,214.328206891083,0,4123.96737542589,0,214.743106454764,5e-05
3,4,1,-11.2790872377259,-3.2640964171294,-1.65779507244041,-6.15354106467302,-4.14254777299144,0.978737580258036,-2.87916808623508,4.21518426077231e-05,0.0192666244935765,1.02113211723479,4.92647279960519e-05,0.0194149933566911,661883.69603487,0.0337532779872485,214.219059283051,0,214.328167234595,0,4123.96749279008,0,214.743106454764,5e-05
4,4,1,-10.173552410571,-3.66458611179871,-3.56023014220395,-4.90423566416113,-4.80702798126236,1.49491762459459,-2.55878819128319,4.20528353933558e-05,0.0192675759345688,1.02145128595566,4.92561386361378e-05,0.019400478545133,88965.0869041616,0.0337501167933046,214.219076503795,0,214.328152285032,0,4123.97437069075,0,214.743106454764,5e-05
5,4,1,-9.12236026668227,-3.14060574665984,-2.96388242891894,-4.57803627063587,-5.09420745565641,0.23181958693736,-1.98572235922182,4.20728013040849e-05,0.0192714851063962,1.02140221359446,4238.98139675215,0.0337616559938467,79997.4013872602,0.0337402111407348,214.21906616333,0,4123.96901506735,0,4123.97563039337,0,214.743106454764,5e-05
