"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.2,-4.6209003098386,-4.89819044031284,-1.2207662481428,-6.13116085105223,-3.10481936591862,0.594724714243463,-5.16836901839197,0.0289262577538639,0.0209527530423498,0.180085747163261,0.00021770706418033,0.0149553535932269,434880.666781396,0.0194207359927885,313.502594073717,0,2341.72786698297,0,4394.12319304492,0,317.009043760683,0.0251188643150958
2,1,0.2,-3.90934118795821,-3.8017541631119,-3.20082318047274,-7.0561064595279,-3.78864180223843,-0.149290778672054,-2.58354519532083,0.0289770476926336,0.0209480972324688,0.179834674542528,0.000217699496928835,0.0149499641684242,0.0937974292649632,0.0227854075095277,313.5035628061,0,2341.72770294058,0,494.433081346254,0,317.009043760683,0.0251188643150958
3,1,0.2,-3.16825946582413,-4.04972001776977,-2.7226559712117,-5.82133325807358,-3.34395976375671,1.358658970084,-2.11152606554874,0.0289291041408274,0.020955017029948,0.180080175713098,0.000217810642127331,0.0149511033343776,369690.32708491,0.0194158840642748,313.502575573173,0,2341.7275906409,0,4394.12354400125,0,317.009043760683,0.0251188643150958
4,1,0.2,-3.66658182259308,-1.79300406917138,-3.34044699668912,-5.37279383328126,-3.80707317739898,-0.887307986977664,-3.51068883821457,0.0289295313521558,0.0209579526481183,0.180094565289783,0.000217648952389134,0.0149497561103536,0.0937989399435136,0.0227829384116566,313.502622347232,0,2341.72772135871,0,494.43300106057,0,317.009043760683,0.0251188643150958
5,1,0.2,-4.0005516146418,-3.31099313679446,-3.43121421712643,-5.66727990017503,-4.96590567067903,-0.178313915858862,-4.83437627782905,0.028926613848747,0.0209559505710019,0.180100840195474,0.000217490975474701,0.0149458089135915,0.0937931726639648,0.0227792365483444,313.502580483673,0,2341.72810361723,0,494.432982759563,0,317.009043760683,0.0251188643150958
6,1,0.2,-4.31578119096566,-3.63560984962735,-2.61199646450516,-8.75437906361244,-3.13417630903912,1.44404385639459,-2.68324369373127,0.0289970352772961,0.0209588219465157,0.179660363877717,0.000217812668768966,0.014952599017814,45406.2642565561,0.0194195235571955,313.504318200392,0,2341.7275710159,0,4394.13632975665,0,317.009043760683,0.0251188643150958
7,1,0.2,-2.93373813262602,-3.61920224208779,-4.00155496050944,-5.44581827087801,-2.49780633992752,1.04825480805593,-3.45543995744231,0.0289333664223719,0.0209536618559719,0.180061948090162,0.000217710189710739,0.0149483369112875,46284.2159526152,0.0194177605919061,313.502605061165,0,2341.72775624186,0,4394.13608706888,0,317.009043760683,0.0251188643150958
1,2,0.2,-4.71480425045916,-3.49533194201053,-0.895666506232413,-6.66746422816419,-2.02848724670876,0.493302438693984,-3.04144587327071,0.0246651802332201,0.0199818968585234,0.201825447106347,0.000119272586278674,0.0122420066405038,45779.0962436675,0.0192026982129626,308.696694554569,0,2333.05175386487,0,4539.73139272251,0,308.962333978849,0.0251188643150958
2,2,0.2,-4.42491246709193,-3.63767053916874,-1.64855675461284,-6.16799282406456,-4.28383641498083,-0.514530482070475,-3.46268604489779,0.0246583081469681,0.0199796264891724,0.201854445566968,0.0001192653912241,0.012238826521884,0.0934763827199342,0.022331424909414,308.696707720918,0,2333.05172514204,0,544.137044437387,0,308.962333978849,0.0251188643150958
3,2,0.2,-4.92898163694432,-4.54319682549712,-2.37170524192471,-6.29181791908058,-3.26445083062658,1.42183918983741,-2.45637431317395,0.0246490661420484,0.0199811543938423,0.201917080568941,0.000119286146106476,0.0122397732349161,4285935.73296577,0.0192064131189504,308.696759542433,0,2333.05172734497,0,4539.71681424023,0,308.962333978849,0.0251188643150958
4,2,0.2,-4.20706028986572,-3.12005383805566,-2.58394403618468,-7.27503959137031,-4.12008589883599,-0.986037328831041,-2.58327549055759,0.0246909763586342,0.0199804433263005,0.201656401504282,0.000119282542584291,0.0122415806000911,0.0934800865873854,0.0223334061619205,308.696921161225,0,2333.05172759011,0,544.13709806185,0,308.962333978849,0.0251188643150958
5,2,0.2,-2.31132233371916,-4.55969632074588,-1.70164293645782,-5.64213700232402,-4.32736479962059,0.24303301707372,-3.73007618882011,0.0246584099049266,0.0199799896850887,0.201866105398381,0.000119299935612137,0.0122439727526734,45778.6975908904,0.0192047025958477,308.696700347022,0,2333.05182131716,0,4539.73133691679,0,308.962333978849,0.0251188643150958
6,2,0.2,-3.66770245083411,-5.20307284369748,-3.92434043223014,-6.72076879400168,-4.23310081827642,-0.83385056822088,-5.80358060545488,0.0246727237196767,0.0199805519546828,0.201769696523685,0.000119292026726053,0.0122396942401407,0.0934664468569041,0.0223244909562345,308.696719435926,0,2333.05174484211,0,544.137036510061,0,308.962333978849,0.0251188643150958
7,2,0.2,-2.72891684296569,-4.12284784974339,-3.20870958271447,-6.99584134305685,-4.10401091366446,-0.386660842800982,-4.5890732548605,0.0246631056539213,0.019980255608632,0.201832272895323,0.000119255652622754,0.012239584806107,0.0934752881682359,0.0223296667315854,308.696690628473,0,2333.05172658288,0,544.137027322694,0,308.962333978849,0.0251188643150958
1,3,0.2,-3.92714023160571,-3.26521121459952,-0.787133863672877,-7.70327424409936,-3.42691966545794,-0.0733404895496013,-3.39274067039983,0.025737456897878,0.0200121339335471,0.197332045565708,0.00020437485102251,0.0142614520693946,0.0931985400128637,0.022025789081888,306.898884170314,0,2304.39846371567,0,523.287409529218,0,307.264038100968,0.0251188643150958
2,3,0.2,-3.49226021676004,-4.48847390126439,-2.11799155982673,-6.29042938032734,-4.46571009454152,-0.0159702778767339,-2.59542744672039,0.0257415620791445,0.0200130245692427,0.197294732516328,0.000204441176837243,0.0142643980320014,3878674.35110812,0.0190092524535162,306.898860967387,0,2304.39844674197,0,4454.1102050921,10,307.264038100968,0.0251188643150958
3,3,0.2,-3.11091828490756,-5.72096420006274,-4.09090758237292,-7.84454105783198,-3.86724541306705,0.466431391628879,-4.58755930766964,0.0257401228414567,0.0200107284274773,0.197303332991718,0.00020434678665021,0.014263468068101,456275.503377482,0.0190136657842978,306.89886417387,0,2304.39846314503,0,4454.1113541663,0,307.264038100968,0.0251188643150958
4,3,0.2,-3.73126479182124,-3.5299507949135,-1.68919873533164,-7.22424915561364,-3.97678734356788,0.820255097916878,-4.33536958774373,0.0257439827581197,0.0200113959310365,0.197278292906677,0.000204397086827065,0.0142646455843369,448558.224817504,0.0190122751749546,306.898862322109,0,2304.39844277202,0,4454.11138908268,0,307.264038100968,0.0251188643150958
5,3,0.2,-4.67565645871022,-2.4046149100897,-0.870717510016784,-6.70027703965319,-4.70304326517499,-1.22160790807917,-3.71183444081802,0.0257479875335189,0.0200123596666728,0.197252255086902,0.000204390276128604,0.014262129667764,0.0932018160646958,0.0220270125535149,306.898870855571,0,2304.39844847098,0,523.287390075982,0,307.264038100968,0.0251188643150958
6,3,0.2,-3.73741316267839,-4.30371764851559,-1.93060080123228,-7.72594832713886,-3.18858530107963,-0.775097783802713,-2.7388023970199,0.0257429568848469,0.0200133440895944,0.197286858121274,0.000204299530145326,0.0142671145062555,0.0932083782790167,0.0220278683670255,306.8988612185,0,2304.39877410073,0,523.287397200957,0,307.264038100968,0.0251188643150958
7,3,0.2,-4.25505305904518,-3.75005345702522,-0.882951160929542,-7.80632293963955,-3.72613704976047,-0.736478303658618,-3.75719947783358,0.025742810103088,0.0200124844085084,0.197285240858166,0.000204373202954414,0.0142622083676984,0.0932101919979894,0.0220316838159137,306.8988608939,0,2304.39844613577,0,523.287403648273,0,307.264038100968,0.0251188643150958
1,4,0.2,-3.75336943463548,-3.69450747892818,-2.69717649864882,-5.4051673265918,-4.50465737116111,1.99273601380013,-3.75579773752856,0.0245447015744561,0.0199383267499081,0.201860807106365,0.000178453813159326,0.0139740080916536,45790.1094171533,0.0192394180901306,320.427824261651,0,2299.22921458087,0,4553.93587304137,0,321.120586944918,0.0251188643150958
2,4,0.2,-3.91334153396759,-5.88897083525958,-2.62020687119376,-6.58755520812768,-2.92611026648846,1.31860812562719,-4.64041711028821,0.0245362317894723,0.0199398631265692,0.201893098619005,0.000178500110161649,0.0139762232165814,45555.2927917371,0.0192345538289727,320.427707738366,0,2299.22919665043,0,4553.93569804977,0,321.120586944918,0.0251188643150958
3,4,0.2,-3.42903185667426,-3.00928558768799,-3.19848138654758,-5.47454998671611,-4.19080054822422,-2.8658804421302,-3.72629596274121,0.0245394824712098,0.0199398987850489,0.201870838658953,0.000178352846130236,0.0139745432478081,0.0927150001169446,0.0222536041682243,320.427705142379,0,2299.2290738705,0,552.527716755036,0,321.120586944918,0.0251188643150958
4,4,0.2,-2.69151291891167,-4.23136586888004,-1.38621011871891,-8.6516456275449,-4.4556983148262,0.609102329967703,-3.35812768158255,0.0245467632010797,0.0199429391093983,0.201828824894222,0.000178323306177618,0.0139756346169205,45868.9794821181,0.0192331274698016,320.427725524984,0,2299.22907754982,0,4553.9356774546,0,321.120586944918,0.0251188643150958
5,4,0.2,-4.45353012038922,-3.38524477699352,-3.000146998126,-6.97392456181892,-2.52391121887728,0.607676121543895,-5.50538579707624,0.0245370614563607,0.0199408041177535,0.201907580776379,0.000178392508155431,0.0139786940066488,45459.9994996361,0.0192291478299048,320.427758754632,0,2299.22909096931,0,4553.93605782177,0,321.120586944918,0.0251188643150958
6,4,0.2,-3.80448598530439,-4.07798606496265,-2.88771179434511,-7.84076059849879,-3.72504216345776,0.785968842071217,-4.38801415756353,0.0245553664162909,0.0199421236334992,0.201770869579136,0.000178335637905298,0.0139742000298237,45611.3642219297,0.019233996780185,320.427758841091,0,2299.22908194154,0,4553.93571417445,0,321.120586944918,0.0251188643150958
7,4,0.2,-3.35169564766661,-3.97830319515153,-1.67856912774195,-6.79070426454019,-6.26960620972586,0.829801847695665,-3.40507374604356,0.0245402754914326,0.0199401003058633,0.201867518307073,0.000178435224275948,0.013977223685344,45709.8889161547,0.0192335276917877,320.427701970567,0,2299.229071172,0,4553.93570367721,0,321.120586944918,0.0251188643150958
1,5,0.2,-1.64735790449043,-3.09266161792936,-2.80537631268237,-4.34777727100236,-4.26114587145643,-0.49422491515421,-3.05843041965454,0.0254398570230911,0.020432431336435,0.196258218332988,529.345577572942,0.0194867131735519,0.0913001478548451,0.0225202959629819,306.998474641787,0,4514.40816703887,0,522.936187459737,0,308.945982495948,0.0251188643150958
2,5,0.2,-4.46458080534289,-3.71959955607519,-2.98995431318548,-7.90009199764938,-5.06943110625803,-0.893056565001258,-2.72392298739151,0.0254571769384886,0.0204383231315523,0.196168477150206,0.000198185152440663,0.0146729308821544,0.0913061929663509,0.0225224308803308,306.998380754573,0,2292.08414905139,0,522.93615613547,0,308.945982495948,0.0251188643150958
3,5,0.2,-3.83522843334628,-3.8932293942473,-1.28664338143182,-7.88238257379515,-3.2754108789352,-1.10947676926489,-3.04821893873763,0.025451592836474,0.020436938650228,0.196210053490214,0.000198424867494229,0.0146757587659896,0.0913029978016998,0.0225268520710448,306.998365782427,0,2292.08438407564,0,522.936160217809,0,308.945982495948,0.0251188643150958
4,5,0.2,-3.26332827250874,-5.40587080313081,-3.40923063820926,-7.30882439030748,-3.61480401253373,-0.164378815697201,-3.56568799149764,0.0254534599135464,0.0204372781220502,0.196203026628637,0.000198199803097226,0.014673331670934,0.0913052058187725,0.0225260361378683,306.998370589561,0,2292.08414409296,0,522.936141327707,0,308.945982495948,0.0251188643150958
5,5,0.2,-2.69808221458496,-3.82178608542174,-0.701653421082602,-7.43819711568767,-3.24063789266843,0.588275524358488,-4.68104562855333,0.0620718907355105,0.0194842587559778,3.31619866893542,0.000198263560498679,0.0146716866425668,468712.484197716,0.0194845583103177,4514.40057942026,0,2292.08415447046,0,4514.40026866588,0,308.945982495948,0.0251188643150958
6,5,0.2,-3.66976539774721,-4.81340361500355,-1.79278503134653,-5.68876151200899,-4.01516232761231,1.01652834072193,-3.14711847281198,0.0254591697193168,0.0204370088154041,0.196164854500314,0.000198276748265718,0.0146736656990757,466344.533831035,0.0194863873156756,306.998371344617,0,2292.08414021264,0,4514.40027424091,0,308.945982495948,0.0251188643150958
