fittingattempt,dataset,K,initbetaNL,initgammaNL,initKNL,initbetaDD,initgammaDD,initbetaFD,initgammaFD,betaNL,gammaNL,KNL,betaDD,gammaDD,betaFD,gammaFD,lik,conv,likDD,convDD,likFD,convFD,NLLtrue,truebeta
1,1,0,-1.962401758,-3.652576616,-3.917887973,-4.985185279,-2.462921996,-0.81996986,-2.891446469,9.6356547,0.018528734,0.025780999,0.009230719,0.018907351,0.997175439,0.019947622,320.9102853,0,319.4064963,0,314.600357,0,314.628842,1
2,1,0,-0.393170149,-3.903311384,-0.85061819,-4.866529606,-3.963362782,-0.065531538,-4.024852114,2.166810016,0.018387337,2.135421631,0.009229081,0.018904699,0.997292305,0.019946599,321.101254,0,319.4064303,0,314.60035,0,314.628842,1
3,1,0,0.840555358,-4.263901177,-1.640271879,-5.607588611,-5.249076415,-0.039388787,-2.942699565,10.86059577,0.018533212,1.18E-05,0.009230241,0.018906779,0.997064429,0.0199462,320.891231,0,319.4064694,0,314.6003829,0,314.628842,1
4,1,0,1.066543932,-4.301196064,-1.251836382,-2.894737112,-5.682822045,-0.081277699,-2.782154729,10.91954886,0.018532105,1.50E-07,76.57384978,0.018385933,0.997408061,0.019947312,320.8912181,0,321.1014419,0,314.6003663,0,314.628842,1
5,1,0,0.043788263,-3.071045477,-1.421042061,-2.794980216,-4.756628771,-0.360362615,-4.037782313,3.318058541,0.018426935,0.402787011,506.6071,0.018388369,0.997211815,0.019947237,321.0980886,0,321.1012521,0,314.6003513,0,314.628842,1
6,1,0,-1.239155391,-4.890453441,-1.122498325,-5.735903668,-5.336135976,-1.29874739,-4.963800645,0.102456444,0.018387707,3.169280298,0.009231792,0.018905731,0.99722081,0.019947666,321.1012294,0,319.406463,0,314.6003539,0,314.628842,1
7,1,0,0.122583201,-2.805954624,-2.845986228,-5.648023123,-5.20797167,-1.346416711,-4.988830767,10.8557766,0.018534933,2.88E-05,0.009225733,0.018906368,0.997110075,0.019948262,320.8912689,0,319.4064602,0,314.6003752,0,314.628842,1
1,2,0,0.437351632,-3.944181254,-2.540488532,-4.730401702,-4.031473164,-0.311689528,-4.355413599,1.838297024,0.019699865,5.89E-06,0.009877688,0.019268837,1.021143626,0.020372261,331.687566,0,338.5740623,0,316.7633999,0,318.1770108,1
2,2,0,-0.442539621,-4.241364325,-3.153229377,-5.336739341,-2.960815349,-1.150569656,-4.255812757,1.021240063,0.020372529,1.32E-08,0.009876629,0.019267148,1.021123673,0.020372783,316.7633927,0,338.5740788,0,316.7634007,0,318.1770108,1
3,2,0,-0.708038633,-3.877766288,-1.407114027,-2.890300162,-3.771091029,-0.615391195,-3.721777871,1.02138644,0.020372437,2.33E-06,0.046062142,0.018871937,1.021240925,0.020373092,316.7634205,0,339.7073018,0,316.7633941,0,318.1770108,1
4,2,0,1.262406213,-6.344486559,-3.992957535,-6.309637629,-5.597256644,-0.209362364,-4.587400726,1.021308609,0.020371259,3.86E-07,0.009877366,0.019269448,1.021349689,0.020371907,316.7634084,0,338.5740692,0,316.763401,0,318.1770108,1
5,2,0,0.067111145,-4.253334298,-2.127122254,-6.082510703,-4.889683862,-0.26086548,-2.164429376,1.021205934,0.020372639,1.13E-05,0.009875583,0.019268317,1.020972177,0.020375971,316.7634609,0,338.5740701,0,316.7634971,0,318.1770108,1
6,2,0,-2.441764617,-3.701927392,-2.964285557,-4.641233767,-3.591228695,-1.635994395,-4.073629223,1.021086059,0.020373118,3.44E-06,0.009878582,0.019268998,1.021111682,0.020373331,316.7634244,0,338.5740638,0,316.7634045,0,318.1770108,1
7,2,0,-1.244686844,-5.372317897,-2.756238045,-5.181230807,-3.879349705,-0.415173645,-5.230705078,1.021448569,0.020370105,1.30E-05,0.00987857,0.019268675,1.021270868,0.020373331,316.7635488,0,338.5740617,0,316.7633969,0,318.1770108,1
1,3,0,0.991026469,-3.883664694,-0.375186588,-5.101671182,-4.515717354,-1.441356259,-3.25704544,3.890676468,0.018498554,1.99E-06,0.010748995,0.018550047,0.996298467,0.019630467,350.2692513,0,353.7857908,0,336.562991,0,337.6112284,1
2,3,0,-0.587169975,-4.65658042,-3.978838249,-4.818784821,-4.187423213,-0.795501539,-5.295252967,0.787508867,0.019624469,0.037766502,0.052522903,0.018187217,3.892582434,0.018500215,335.2541555,0,351.7836518,0,350.2692682,0,337.6112284,1
3,3,0,0.922595709,-2.538589578,-1.695657884,-4.711102548,-3.064525964,-1.557438186,-4.904637655,1.722976483,0.018457169,0.148799048,0.052974381,0.018184857,0.996351781,0.019630249,350.7312954,0,351.7836803,0,336.5629784,0,337.6112284,1
4,3,0,-0.392648101,-4.630198638,-3.517085289,-5.444053816,-3.545404115,-1.88078487,-4.024880165,0.786821143,0.01962479,0.037904237,0.052360083,0.018186847,0.996649535,0.01962829,335.2541543,0,351.783656,0,336.5629945,0,337.6112284,1
5,3,0,-1.203858721,-2.326279545,-3.188478632,-3.602076426,-2.686473277,-1.980381947,-4.034750976,0.787831368,0.019624596,0.037664937,0.053187025,0.018185529,3.876795448,0.018499111,335.2541886,0,351.7836928,0,350.2692804,0,337.6112284,1
6,3,0,1.754668265,-4.872472512,-1.367923646,-3.705380728,-4.570167267,-1.600186446,-5.255524388,3.885513899,0.018500316,1.06E-07,0.052790534,0.018186059,0.996633027,0.019630374,350.2692622,0,351.7836574,0,336.5629943,0,337.6112284,1
7,3,0,0.252375836,-2.606949213,-0.956583213,-4.183510113,-4.299228666,-0.921492287,-2.903793684,3.878883936,0.018501508,6.36E-05,0.052436647,0.018187155,0.996491264,0.019631063,350.2694889,0,351.7836525,0,336.5629863,0,337.6112284,1
1,4,0,-0.519087169,-3.618920682,-2.188993555,-5.639617337,-4.975122842,-0.697183845,-4.497942313,1.04172813,0.020227458,2.62E-07,0.010362464,0.019138983,1.04164309,0.020229692,331.7255075,0,347.0461671,0,331.7255061,0,333.2538537,1
2,4,0,1.251024128,-3.655714405,-1.876106645,-6.560014855,-4.445971392,-1.34078448,-5.198054843,1.041841835,0.020229044,6.07E-07,0.010365159,0.019138153,2.273567448,0.019395941,331.7255357,0,347.0461678,0,340.8567113,0,333.2538537,1
3,4,0,1.370504086,-6.472008986,-2.011378636,-5.383702011,-5.010861502,-1.593796316,-3.980073549,2.268933466,0.019402492,6.57E-05,0.046314514,0.018762994,2.265050643,0.019400763,340.8570545,0,346.2861646,0,340.8567251,0,333.2538537,1
4,4,0,-0.298526468,-2.269425498,-2.187510367,-6.095007032,-5.592171303,-0.840339559,-4.565246732,2.262976671,0.019397426,4.54E-05,0.010350436,0.019142641,1.041629657,0.020229296,340.8570105,0,347.0464019,0,331.7255005,0,333.2538537,1
