"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0,-1.26423575535493,-1.22104582048558,-1.40748250365064,-7.16114369533275,-4.34686610150139,-0.612684628460556,-3.83557115775481,0.0955089990720405,0.0467651157928617,0.00164378195518385,1.67321315427463e-05,9.67607304769164e-11,0.0965300935768363,0.0467899073486636,291.169360931318,0,1280.20980426367,0,290.81181451792,0,294.608388313495,0.1
2,1,0,-2.34810673734596,-1.5657126195814,-2.22141666904017,-7.17675489555313,-3.24029826549589,-1.30447886092588,-2.93257283435802,0.0965290531009487,0.0467904468664877,1.36039529731007e-06,1.6729434752038e-05,3.25810544258483e-10,0.0965286035233111,0.04678223859303,290.812103970749,0,1280.20983873651,0,290.811829222785,0,294.608388313495,0.1
3,1,0,-2.86942278432533,-1.88755904970698,-3.17218505487237,-6.99081901905104,-3.90149383245926,-0.529798067640513,-2.02600637872367,0.096530535810861,0.0467863197979219,3.46483879336299e-07,1.67326377125893e-05,1.03951847346334e-09,0.096513121275467,0.0467733702629258,290.811882116953,0,1280.20984756799,0,290.81188404043,0,294.608388313495,0.1
4,1,0,-2.6215838604868,-2.31554354128701,-1.08778633308972,-7.17869470794836,-3.34914772382112,-0.0161746917292476,-2.74127520124871,0.0965233219650055,0.0467853586828424,7.14781659730207e-07,1.67307214630193e-05,1.82163675739875e-10,80517.1539512119,0.0342554565268859,290.811966485162,0,1280.20980967469,0,3126.38189599207,0,294.608388313495,0.1
5,1,0,-1.99083075714445,-3.43159834085792,-1.8355303894264,-7.32210482382574,-2.91506712285826,-1.97960392944515,-2.93712265116309,0.0965290546559406,0.0467825500360986,3.96135259256635e-07,1.67311686399771e-05,3.10493120891416e-10,0.0965274249899128,0.0467859998242005,290.811912304001,0,1280.20981156173,0,290.81180921096,0,294.608388313495,0.1
6,1,0,-3.87732343954738,-1.57109543075248,-0.390277760476667,-8.7189644612296,-2.78409472068345,-1.28867455199361,-3.91781699612219,0.0965129216507566,0.0467787044758573,1.04074708831525e-06,1.67333417290378e-05,7.89323616877459e-10,0.0965425406576779,0.0467917260105332,290.812069100229,0,1280.20985011563,0,290.811830366455,0,294.608388313495,0.1
7,1,0,-1.81980007283158,-3.54181089858942,-3.00888019031925,-5.02415696918833,-3.46861098887392,-1.56281993864104,-3.64210944656503,0.0965247244866329,0.0467841442728615,6.44337038330379e-08,1.67321143004005e-05,1.1529546127297e-10,0.0965455649131735,0.0467964934660453,290.811826760476,0,1280.20980488643,0,290.811838537992,0,294.608388313495,0.1
8,1,0,-3.65771505317287,-3.65196968284217,-4.42294983073744,-7.18268997921232,-3.37693657131265,-0.980330054182559,-3.28373753939498,0.0965247589379648,0.0467832537598131,4.00824258551532e-08,1.6730506944201e-05,3.53156588127629e-10,0.0965261857041089,0.0467852699036015,290.811823501737,0,1280.2098190276,0,290.811810724952,0,294.608388313495,0.1
9,1,0,-2.53904365011521,-2.86743002790742,-2.66055682337315,-7.12990682758383,-2.17624901485899,-1.32246006140485,-3.28597486141555,0.0965326839522809,0.0467900742473388,3.20538793712875e-08,1.67308568157656e-05,9.22363194693741e-11,0.0965301300544899,0.0467892621098617,290.811816449748,0,1280.20980479118,0,290.811811289694,0,294.608388313495,0.1
10,1,0,-3.1092681540413,-3.88704220347713,-2.80156838519804,-6.58020934079803,-3.47997731936321,-1.10918546793982,-3.98811838533968,0.09653405722987,0.0467899875199294,6.19200327971613e-08,1.67324733686073e-05,3.14005178267348e-09,0.0965399857446244,0.0467897807485317,290.8118219263,0,1280.2099301902,0,290.811826290083,0,294.608388313495,0.1
11,1,0,-2.64473301939835,-2.41799369922551,-3.68966273585199,-5.29280308915068,-2.70738074485255,-1.60843966761604,-2.6786897999255,0.0965252662593936,0.0467890192690351,2.21848073683229e-07,1.67299845942753e-05,2.80296667019466e-09,0.0965254294610402,0.0467833356205436,290.811876459304,0,1280.20992621741,0,290.811814837596,0,294.608388313495,0.1
12,1,0,-2.6504686105093,-3.75081947447659,-3.11177137892174,-5.42791061950952,-3.07781667289125,-0.125196412671357,-3.65361491431128,0.0965237833221837,0.0467838355101111,1.27207527192951e-08,1.67320804446143e-05,1.08792472961204e-07,0.0965326793535299,0.0467836055414092,290.811817621652,0,1280.21418667632,0,290.811836208557,0,294.608388313495,0.1
13,1,0,-2.36806035887414,-4.15876438579548,-2.34254042907806,-8.82306117426159,-3.53886165630056,-1.58739644754678,-3.50668377731775,0.0965364530601035,0.046787738499912,2.00519210342801e-07,1.67312694910595e-05,1.54877210900839e-10,0.0965270235568463,0.0467849979017532,290.811863233158,0,1280.2098048862,0,290.811810360241,0,294.608388313495,0.1
14,1,0,-3.2646122932481,-3.88750394176924,-1.87655822462754,-7.28090022239394,-2.94110238868151,-1.59284882666543,-3.4990399641337,0.0965239003246949,0.0467838943703399,4.39345431231714e-08,1.67343767709369e-05,7.17330288918518e-09,0.0965426334241412,0.0467974341769772,290.811823896858,0,1280.21013710156,0,290.811840734489,0,294.608388313495,0.1
1,2,0,-2.11499718301122,-2.65549356342022,-1.71635561721438,-5.08057361739976,-2.32661810391765,-1.13957988889888,-3.07905004967102,0.0978041549422062,0.0485224459130089,3.47814814509127e-06,0.0075543558719671,0.0360535626415288,0.097790718769098,0.0485066675855794,272.883057729477,0,3234.29436030627,0,272.882730019088,0,273.652120504625,0.1
2,2,0,-0.11199650309328,-3.11881854603115,-0.648458849833962,-5.9675487057169,-1.22267350781066,-1.39050259022042,-2.82263548718137,23.9525035413685,0.0352506462983056,2.30622842068999,0.00031438526898198,0.0331725601870018,0.0977921649565659,0.0485087155001506,3074.35411536421,0,2103.07156484695,0,272.882719102521,0,273.652120504625,0.1
3,2,0,-2.90297971622405,-4.00686458055024,-1.08894790222377,-6.16388843160509,-1.69554954218234,-1.38811469869688,-2.45406376147078,0.0977963890294235,0.048517423058812,3.30058272058417e-07,1.61354549568527e-05,1.20539502015889e-09,0.0978029214547567,0.048522497790685,272.882750362289,0,1239.72977920532,0,272.882747396188,0,273.652120504625,0.1
4,2,0,-2.25737184050594,-1.3543476994207,-2.00961524277781,-7.04364004278418,-3.49395251463521,-0.228475598152727,-3.41191397205945,0.0977927891578788,0.0485055885279778,2.75571003345011e-06,0.000314371257630103,0.033177310506965,0.097791938485921,0.0485164325538053,272.883017619826,0,2103.07151622618,0,272.882729986121,0,273.652120504625,0.1
5,2,0,-2.03301261475482,-3.29555579536635,-4.04704800684791,-7.59243024981512,-4.0126990720942,-0.57349688699469,-2.02131605348771,0.0977885675872594,0.0485136717545639,2.27607943977695e-08,1.61359968930943e-05,7.01966050471275e-08,0.0977829376075909,0.0485091732815768,272.882725605376,0,1239.7325616705,0,272.882724837859,0,273.652120504625,0.1
6,2,0,-1.2300535041422,-2.64161196977986,-1.56025904002035,-7.23531603049074,-3.31607341679589,-0.906936910469085,-2.43453610633599,0.774232261180906,0.0352554482142488,2.55933928261082,0.000314448587827183,0.0331804024023478,0.0977912006985519,0.0485072695969182,3074.3555148149,0,2103.07151830747,0,272.882726626601,0,273.652120504625,0.1
7,2,0,-3.11445859913404,-4.44589783219882,-2.59964880167403,-8.01797793578798,-2.52935422921827,-1.42568388627842,-4.00184282407853,0.0977993346195199,0.0485129228759022,6.83889893561564e-08,1.61319107895423e-05,2.17149241405256e-10,0.0977958859948648,0.0485112782366177,272.882728545272,0,1239.72973009367,0,272.882716703449,0,273.652120504625,0.1
8,2,0,-2.81659639922628,-3.89916426694924,-2.60844294789772,-5.50254749817013,-1.12803306041367,-1.77397380955517,-3.58935661382683,0.0977988700723538,0.0485131817488257,2.38374786726347e-07,0.000314359415413029,0.0331791422603466,0.0977680367825014,0.0484981445147282,272.88274089938,0,2103.07153013267,0,272.882790230737,0,273.652120504625,0.1
9,2,0,-1.43246467049565,-2.71161457022012,-2.56428290805961,-8.21064750542319,-2.91666267357551,-0.189846586436033,-3.45361704624934,0.0977733640455873,0.0484975858743589,4.58406924277154e-06,0.000314412414225906,0.0331800769194025,0.0977889262095501,0.0485087481171146,272.883196994226,0,2103.07151759396,0,272.882712355148,0,273.652120504625,0.1
10,2,0,-2.58762574883447,-2.82307095556116,-4.51966680315545,-7.18115192358219,-3.44242951442669,-1.94733735499904,-2.79024559914322,0.0977958559374693,0.0485114289301293,1.51761624797444e-07,0.0003143966677445,0.0331765387082264,0.0977907336668539,0.0485143108939004,272.882729860603,0,2103.07151424224,0,272.882718504447,0,273.652120504625,0.1
11,2,0,-2.17993498952902,-3.74191132469761,-1.15092774032552,-8.9154390595117,-3.5891039267815,-1.14861681079492,-3.11368414361298,0.0977955196071524,0.0485166069871052,5.26711483696246e-07,1.61358131187402e-05,2.23413413423254e-08,0.0977993005395544,0.0485178915456648,272.882764842809,0,1239.73063639718,0,272.882719107478,0,273.652120504625,0.1
12,2,0,-2.66075695353005,-2.17757137491578,-3.08705536820642,-7.27591277387578,-3.31559173174286,-0.965848949272186,-3.59276387831497,0.0977740685600641,0.048508099048856,1.80442942761966e-06,0.000314409971842102,0.033180088767333,0.0977964614169347,0.0485196520552861,272.882937850781,0,2103.0715181886,0,272.882740846923,0,273.652120504625,0.1
13,2,0,-3.86135682549142,-3.09492971474146,-2.86412002348458,-8.73961848962505,-1.96237655511497,-0.378745513036847,-3.08003211542878,0.0977871135149738,0.0485076574167591,2.36985352017861e-07,1.61315704896716e-05,3.71457573066434e-10,0.0978009282064645,0.0485179317704199,272.88273656191,0,1239.72974314167,0,272.882719340365,0,273.652120504625,0.1
14,2,0,-1.74773855417807,-2.84279786005964,-2.07771436849674,-6.70613999338531,-4.57810816484898,-1.40868750214577,-3.68642892238263,0.0977761232548724,0.0485010423103477,7.32040033263579e-07,0.000314476600692152,0.0331777797992188,0.0977889525687366,0.0485138639260072,272.8828167676,0,2103.07153029704,0,272.882723155303,0,273.652120504625,0.1
1,3,0,-2.01862548184483,-2.57522360315457,-2.01146570669083,-6.66325939841773,-2.17415542157657,-0.899425602518022,-2.99664694702596,0.0891414791238901,0.0496305647209771,0.0166828967497742,1.62257232701782e-05,3.29742959979867e-09,0.0992449311419444,0.0497242174186178,271.471761915953,0,1159.85251349136,0,272.59709376615,0,272.683707237059,0.1
2,3,0,-2.03083010359129,-2.63080347051122,-3.01988590858708,-6.05072031918454,-3.45151602138601,-0.187672092579305,-4.14661844911742,0.0891583656858916,0.0496314519916083,0.0166467335442039,1.62291103912658e-05,5.55352324688182e-10,0.0992444190340585,0.0497316989269407,271.471760828148,0,1159.85236135021,0,272.597121488733,0,272.683707237059,0.1
3,3,0,-2.83077114496774,-1.70764988670653,-1.51250195568533,-5.82367016098946,-2.76005823589944,-0.279073389712721,-2.28893586717163,0.0891282278917956,0.0496246208074871,0.0166814122263868,1.6230520258571e-05,5.35103855641045e-10,0.0992251610059539,0.0497154748967165,271.471749765017,0,1159.85237963005,0,272.597115818185,0,272.683707237059,0.1
4,3,0,-1.96985162446567,-0.467098038187419,-3.24225169789352,-6.73452492831411,-2.19062216343622,-0.574163910001516,-2.73318497365541,0.0891257461070597,0.049628558714544,0.0166912895866259,1.62264534745271e-05,4.02057438441689e-10,0.0992408048513275,0.0497285253794284,271.471763031081,0,1159.85238379247,0,272.597106273869,0,272.683707237059,0.1
