"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,1,-8.7719369453476,-1.12558427716916,-1.03291805419405,-5.06444210723534,-1.60275198753581,2.19846179536193,-2.58468038263967,0.00105267105147047,0.0957279916767322,0.98486270526886,0.00096661423754235,0.0950810921432489,203109.652073911,0.075187584573705,142.964296683055,0,143.062963036035,0,655.924396123312,10,145.978512067303,0.001
2,1,1,-5.44310732133744,-1.66029154062888,-3.73353846121662,-5.82822052568925,-2.63922743670858,2.8599479203392,-2.93667372871876,0.0010525830846426,0.095739988653271,0.984907844323384,0.000966666108059882,0.0950928704179298,200873.18851396,0.0751961667805692,142.964310274699,0,143.062955589665,0,655.924477779618,0,145.978512067303,0.001
3,1,1,-7.30855062469946,0.0295552147550411,-3.29705441421079,-6.5005889989025,-2.35271480635159,0.335044727794352,-1.93484488424387,0.000669787121815382,1.02999630489553,0.0369919701001713,0.000966632450653723,0.0950920126249907,1150824.15116388,0.0751915480718378,5278.77268509117,0,143.062953339457,0,655.924061828899,0,145.978512067303,0.001
4,1,1,-7.06506670500449,-0.822464435823173,-2.17933925126364,-3.81775828740962,-1.59414054219906,1.33975429762253,-1.43177790489858,0.000195460216810383,0.0751697482962208,4.70289957308459,1951805.88875666,0.0751930778209501,196293.232108754,0.075183685288603,655.924333654785,0,655.924026504676,0,655.924634251278,0,145.978512067303,0.001
5,1,1,-6.99129447043724,-3.57115622503827,-3.49960286292002,-5.19219512664317,-1.19448609709514,3.02354583908357,-2.2432281779933,0.732760757646233,0.0935490913126549,0.00115542088897323,0.000966743904990184,0.0950934091912496,201956.603021921,0.0751961973710442,696.322851893193,0,143.06297017567,0,655.924259032034,0,145.978512067303,0.001
1,2,1,-7.83628510791885,-2.59406318235063,-1.09198668441536,-2.43998580241826,-2.21785046398013,3.57955601928361,-0.601086894996605,0.00103897793721029,0.0968055394770304,0.991710544105569,3789.62518619454,0.075881146079571,200134.538476677,0.0758524085688448,145.939658923507,0,638.508612055053,0,638.509150116982,0,147.219300189078,0.001
2,2,1,-6.67075539086173,-2.19229523650463,-2.63562354939159,-4.61072684132505,-2.37686359902906,5.05364093424078,-2.64894867140296,0.747969359519262,0.0955779794305913,3.04097538114768e-11,20422.0560391003,0.0758624013993851,203470.996365607,0.075866669052995,695.621790193407,0,638.508275279965,0,638.50848220324,0,147.219300189078,0.001
3,2,1,-5.68204814242629,-2.23773312033178,-4.28573818283279,-5.0981451932131,-3.99609745758719,2.38130263673906,-3.29190639595141,0.0010394101506051,0.096790847919571,0.991622081751491,19382.8946082842,0.0758700478488834,1727991.83710369,0.0758737367337607,145.939648722191,0,638.508610853066,0,638.50835539354,0,147.219300189078,0.001
4,2,1,-6.9606080750695,-2.37355123991995,-2.66674195034011,-4.01762044434924,-3.14679458881246,4.24681341621622,-2.6347761600323,0.746101671624237,0.0758773660721189,2.47588573942239,39885.7322789068,0.0758704332090591,15442466.8938494,0.0758677696425698,638.510029856324,0,638.508495273585,0,638.508014814229,0,147.219300189078,0.001
5,2,1,-6.67601203501543,-2.37360208087201,-1.13125718388703,-4.07399791272551,-1.30805783363568,2.54140968364594,-0.592603790827699,0.00251741983208259,0.0758796167178699,5.07507661989826,279.29120798819,0.0758326942518452,14107759.9880366,0.0758840611479556,638.508042983198,0,638.51253602392,0,638.50848807243,0,147.219300189078,0.001
1,3,1,-6.66258599605625,-1.65363672356093,-2.76042149869332,-4.66423612728432,-1.75979529289565,2.8356482412202,-1.22411121491425,0.750954869959696,0.0986643681988091,0.000903677183601215,260127.306761235,0.078482109898476,196547.684623398,0.0784529830003044,674.290632953433,0,611.965598054949,0,611.965924293666,0,147.213364489859,0.001
2,3,1,-7.06233516102215,-1.05224742772268,-3.29609121048013,-5.47338536298711,-4.01312985139161,0.277023714404963,-1.90944903191819,0.755278444743314,0.0987672001021206,2.08945963874775e-05,0.000981442645557428,0.0996256054764209,1178969.75221128,0.0784497231879986,674.87528689696,0,147.050915643396,0,611.965259967665,0,147.213364489859,0.001
3,3,1,-6.073869433922,-2.59786437314855,-2.80188108430853,-5.36495414781413,-0.598526777402992,2.02367838773571,-2.76792778366602,0.00713382177791259,9.05826435994923e-10,7.48592945477852e-07,0.000981435372892142,0.0996071847555465,85390.8706251461,0.0784536182250674,1807.53849049279,0,147.050908432495,0,611.966594492269,0,147.213364489859,0.001
4,3,1,-7.02667625484484,-2.05370640684844,-2.93655938219922,-4.79341239989955,-2.20774839545144,2.92837939778819,-2.43010021703328,0.755392722241072,0.0987409807799633,5.9194818173481e-12,0.00725505554028483,0.0821537248050758,2058066.02717364,0.0784494614698212,674.889176715233,0,717.244007397135,0,611.965057795142,0,147.213364489859,0.001
5,3,1,-7.4179542481868,-2.15601978909713,-2.6622121933994,-6.67856231301994,-2.22303670818555,2.93240676620837,-1.03643308318803,0.00713709940614128,5.77956693439902e-10,8.04500598501722e-07,0.000981434910531477,0.0996136567263071,10538464.6484965,0.0784522962579659,1807.53849654923,0,147.050902252636,0,611.965248625347,0,147.213364489859,0.001
1,4,1,-8.77840165294216,-2.68318260755337,-3.60949988899062,-4.28821445456135,-4.12881047728289,2.15219437245577,-2.46699331450401,0.00758937688376716,1.54496653583772e-19,1.66522007067887e-07,24.0994641551986,0.0766169342825445,506571.693809574,0.0765948324825281,1797.39559554559,0,620.447995101481,0,620.404385766855,0,148.051451677247,0.001
2,4,1,-5.35357034787246,-2.76843365777255,-2.76011905073791,-5.67497038266664,-1.07865048651523,2.09148224779123,-1.83120968099087,0.00110754583390983,0.0988281429594808,0.983692245092324,0.00101109824765694,0.098130053157622,2009064.13456441,0.0765863702020286,146.345876496448,0,146.442806790546,0,620.403774656022,0,148.051451677247,0.001
3,4,1,-7.17027784325025,-1.80111862883297,-1.48763032258937,-4.57452564956496,-3.07391837508205,1.34286231151021,-1.8374542494907,0.00110678326123095,0.0988101401895238,0.983836580513687,25706.3108279489,0.0766062799101452,197288.080220591,0.0765958950814686,146.345903630568,0,620.404012046627,0,620.404424942153,0,148.051451677247,0.001
4,4,1,-6.93739187123113,-3.73319545348883,-1.93629375891367,-4.8888775308689,-1.98887182162412,3.38893567781177,-2.87939308631783,0.00759094950125672,1.19710503645718e-22,3.16119233697148e-07,0.00101119831107546,0.0981232008726634,948198.055004932,0.0765770023686459,1797.39559574831,0,146.442795426889,0,620.403682094419,10,148.051451677247,0.001
5,4,1,-7.61774965645632,-3.14322679149354,-3.58954384066258,-4.85922673657638,-3.20710794763093,3.77481466660834,-2.12087114676943,0.723897063768501,0.0984265334389967,2.91779811423146e-09,0.00101107125782184,0.0981210458418493,197040.231092826,0.0765817994590706,659.172099412127,0,146.442797859308,0,620.404347723528,0,148.051451677247,0.001
1,5,1,-5.48544601713253,-4.41423412408466,-2.29263924743868,-3.92334597815509,-2.03536149154106,-0.0452200506959604,-3.17883530102046,0.00700958042970461,3.60980191662014e-06,1.7724693485828e-05,4807.81413059451,0.0790249756394684,0.75242824808972,0.0994341312168279,1831.34864808411,0,604.26635143241,0,657.216781750001,0,146.990877001233,0.001
2,5,1,-6.97077059194046,-2.80166527597727,-2.78841472601166,-3.86562147742165,-2.76369916264959,1.42325882039169,-3.28021191550844,0.00700775080468298,3.89974376016987e-06,1.68471857504257e-05,4044.96937867417,0.0790349424692075,182747.159743601,0.0790242494717679,1831.34861079987,0,604.266395438356,0,604.266732540128,0,146.990877001233,0.001
3,5,1,-7.09189744759916,-0.539138302957285,-1.64256135559924,-6.02545496724515,-3.04470262412982,2.84072508340328,-1.08802062426213,0.00110829900742749,0.100392867355338,0.981126765337564,0.000995215555450576,0.0995713586903848,42623.0411595869,0.0789912232718229,146.967186964013,0,147.118591114879,0,604.268921770595,0,146.990877001233,0.001
4,5,1,-6.8638959476578,-0.546320552846133,-4.41110321416988,-4.08568663630811,-3.12431774775872,2.24662856394471,-3.13893225592101,0.752696813463346,0.0994235263163176,6.96870958504114e-08,1047.28157536528,0.079014265060339,2011092.32675577,0.0790169458162383,657.216755530549,0,604.267211576128,0,604.264930351807,0,146.990877001233,0.001
5,5,1,-5.76507423378619,-2.77288488023544,-0.84101807378565,-3.80749871603205,-0.565882787101786,0.771536357416428,-5.05897802829465,0.00110974396378515,0.100453625745189,0.980916442610051,2266.57244916086,0.079010516308168,155415.8263576,0.0790013554284483,146.966916438501,0,604.266718011763,0,604.266937483996,0,146.990877001233,0.001
1,6,1,-6.73216554062597,-3.43195507891096,-1.35477109585961,-4.20641826216657,-1.65379027580826,0.500447832589011,0.0817454587397691,0.000987478694706306,0.0980794425342946,1.00333722673767,25830.1020839973,0.0778053916028053,0.754972472209614,0.0982468743907572,148.349269604351,0,584.333501718221,0,635.999047498668,0,148.66113462663,0.001
2,6,1,-6.31395477053816,-1.8269577800615,-2.40906380471116,-3.31867568338568,-4.05830963933116,2.99074685766067,-3.03179094808025,0.000986040319063913,0.0980638345223213,1.00358731997898,21066.1482319265,0.0778287755403389,153726.160886308,0.0778005148767332,148.349283680362,0,584.333564114978,0,584.334049398323,0,148.66113462663,0.001
3,6,1,-6.70848176182318,-3.55269220833553,-2.3706345228706,-5.1803293735322,-2.44189331625988,2.41637025271909,-3.41287114372018,0.754974187029206,0.0982281913086377,4.3319010969498e-84,0.00100609717150101,0.0982168864406356,209956.122076958,0.0778281043750695,635.999050485359,0,148.352976515736,0,584.333666791478,10,148.66113462663,0.001
4,6,1,-9.20275444926832,-1.97539619547711,-3.72198739666905,-3.235812829299,-3.21232374010307,2.79963586989833,-1.88627663160777,0.00722298590990914,7.28335083203542e-08,1.17522291228683e-06,2177.31158246697,0.0778065467228381,194684.106414793,0.0778003325677541,1875.76762514955,0,584.33392511429,0,584.333579122007,10,148.66113462663,0.001
5,6,1,-6.16308268516552,-3.69073192947257,-1.92505274978663,-5.09905983024048,-1.74844006552258,3.92594472589948,-2.39710824610341,0.00722483338246143,1.56883491238471e-12,1.78203981491543e-06,0.00100615837331866,0.0982163276688322,225.246229140245,0.0778641148928884,1875.76763889115,0,148.352976352275,0,584.872915593044,0,148.66113462663,0.001
1,7,1,-6.93243001923785,-0.695006057320295,-3.47393227026879,-5.98606743053491,-2.03608027432812,3.61228215497515,-1.73610452327107,0.76632434823192,0.09881953469819,7.23219374333889e-09,0.00098842011936399,0.100154074186706,1968664.37599527,0.0787094879869612,697.753643705245,0,152.815547347397,0,632.241188571114,0,152.812274426668,0.001
2,7,1,-7.46011722805762,-4.83892903106913,-2.31886425571273,-5.80762735729845,-2.16816220622896,2.92510818054727,-1.80537392909228,0.00698294906001949,3.24569772993317e-24,5.26703881187329e-07,0.00098837117512233,0.100144954746576,197551466.449842,0.0787424169667769,1883.57069936349,0,152.815535973497,0,632.24126670794,0,152.812274426668,0.001
3,7,1,-7.83712132458781,-1.79255332930006,-3.22054699569219,-3.70133512756799,-1.15908881510945,2.32971393473981,-1.43121372251111,0.766397252248975,0.09880221774959,7.08892896230258e-33,20820.4652807177,0.0787355266434285,212847.561757293,0.0787334690068728,697.753603328405,0,632.241214712926,0,632.241588164645,0,152.812274426668,0.001
4,7,1,-8.39141928779427,-3.38874100461983,-2.76462964379871,-3.96502442841561,-1.14220835483327,1.29982784701336,-2.69252225676983,0.00698740310737921,2.73958375267651e-31,7.76849508591427e-11,1982.38008741074,0.0787284462540598,1501364.08796488,0.0787316413761197,1883.57067959448,0,632.241979910313,0,632.241338174979,0,152.812274426668,0.001
5,7,1,-6.28933656321861,-2.3510323487924,-2.71500925278065,-5.0065339972056,-1.74601183273683,1.73727844551808,-1.94025798357933,0.766513644021284,0.0988153422475245,1.39034001775445e-06,0.00733261558081965,0.0830335495797241,211660.799123608,0.0787249558840214,697.752589615877,0,736.220237493709,0,632.24180146899,0,152.812274426668,0.001
1,8,1,-6.42070939272404,-1.34948894116419,-1.47568089288347,-3.56840086436272,-2.39314475132293,2.4433695066873,-4.68593517950653,0.00120491030563429,0.105155686897281,0.965995291349687,37462.6875013894,0.0788773906420175,187284.797134094,0.0789173984531318,145.523825546076,0,646.606867423316,0,646.607988210744,0,147.253580029161,0.001
2,8,1,-6.80195105142885,-1.65862969935439,-1.68489031365544,-6.54883694222451,-2.73278438423932,3.30470876291022,-2.91022753905421,0.00120511355166983,0.10517264668724,0.966010772252161,0.000994966020145431,0.103659000948841,1550467.50624544,0.0788903170875315,145.523744100398,0,145.92393690124,0,646.606781679983,0,147.253580029161,0.001
3,8,1,-8.06514619351226,-3.50833679611735,-1.58054459322706,-3.44532851455738,-3.58041657826186,2.96184605682515,-1.39407809900263,0.736462530375299,0.0994945081446836,1.45769631839492e-06,36.2997554002939,0.0789148023166291,1968663.02814539,0.0788843073997083,708.094163152783,0,646.635908903555,0,646.60660714151,10,147.253580029161,0.001
4,8,1,-9.17004214191074,-2.05382172822259,-3.00354719710373,-4.01712634421407,-1.04776240798203,1.00713455033783,-1.69752101152562,0.73645217901932,0.0994798255133621,1.31897791915336e-09,27125.9556489809,0.0788728299753875,213476.269599905,0.078895408963404,708.095157514526,0,646.606966003828,0,646.607045927601,0,147.253580029161,0.001
5,8,1,-7.42904558663348,-2.87136850062348,-3.80759114908712,-6.01896699178374,-2.78151073300967,0.821173649059947,-3.38074776970968,0.73653913375546,0.099484139007506,2.57828254127223e-09,0.000994926880010011,0.103635342673885,208971.682422061,0.078891380243962,708.095157032016,0,145.923965838613,0,646.607311945485,0,147.253580029161,0.001
1,9,1,-5.39957100165476,-1.77035142725044,-1.56402166640885,-5.78339436682662,-3.69515639769013,3.18691352967553,-1.08652642211166,0.00103912794973997,0.101785465073169,0.997575571509506,0.00102530759448428,0.10169954194269,68219.0102601003,0.0807882277188627,156.322163330647,0,156.323469456532,0,545.399379286492,0,156.798202520402,0.001
2,9,1,-7.11653972028545,-1.61245890710458,-2.6689632358727,-3.86663702611293,-2.03169268034598,2.78956516246563,-3.25323007058684,0.75725548547564,0.101732746789675,7.8019862705195e-08,224324.13423889,0.0807800913536302,196580.483918547,0.0807641622365193,594.646353420914,0,545.397164645925,0,545.39759612802,0,156.798202520402,0.001
3,9,1,-6.43600638015735,-3.34137038307055,-1.12154966730177,-4.92593970759209,-1.9877112952123,3.18752258281522,-1.60517615959825,0.00628689907544246,1.31465601784597e-15,9.29848034498712e-07,0.00102532049789235,0.101690277158458,37799.4134962182,0.0807928106248476,1810.02694722508,0,156.323466110814,0,545.400831818271,0,156.798202520402,0.001
4,9,1,-5.78501743537458,-1.77515987996018,-0.724866561376411,-6.01391067288669,-3.07589340528914,2.7215700821432,-0.996144348763104,0.00103840493667304,0.101796851157452,0.997714782184007,0.00102541524178259,0.101694990169026,15578489.3049338,0.0807774888579119,156.322171333026,0,156.323471046576,0,545.397146342815,0,156.798202520402,0.001
5,9,1,-5.83741081424928,-2.24922813367868,-3.53472023872086,-4.58108304542377,-1.39275716688275,2.84832977661701,-1.57410870405065,0.00103832039722342,0.101776436427409,0.997706364985192,388.241955416892,0.0807794376751081,1745452.13644854,0.0807834186266748,156.322179090016,0,545.400141671397,0,545.397203695026,0,156.798202520402,0.001
1,10,1,-4.87471382600869,-1.89418661072473,-1.98597362945633,-5.57482839420531,-3.7943293039608,2.38770947573925,-2.05554453837486,0.000701360904254279,0.0946161867294623,1.06271185304324,0.000998006084097007,0.0971713017250369,191176.746934367,0.075684363461027,155.384000662119,0,156.792363000955,0,627.668347004787,0,157.54194189596,0.001
2,10,1,-4.6900498918747,-1.87696129460151,-2.56224408646587,-4.23006385004836,-2.78747890721397,3.58118237484857,-1.38968573998919,0.737747738102364,0.0951089154949315,1.81592038954273e-12,21225.9544411651,0.0756878103716127,172945.120316734,0.0756865056997168,676.054310642067,0,627.667802300708,0,627.668540159068,0,157.54194189596,0.001
3,10,1,-6.16134267600475,-0.596858921482274,-0.841638386505073,-4.39365823773213,-1.39736920651629,2.53383833403577,-1.28118402523895,0.000701261292609606,0.0946103569990893,1.06270801035375,20809.3858160633,0.0756842491996885,190578.712376233,0.0756811552961379,155.383997209416,0,627.667695290319,10,627.668363385383,0,157.54194189596,0.001
4,10,1,-5.63302733132646,-1.9138535824175,-1.67183007845076,-6.88520452495706,-0.670423256826723,2.74155145399303,-3.68445008351004,0.015364572603245,0.0757109983122215,3.99238560612972,0.000998003493610698,0.0971683673562829,1897248.39549614,0.0756746294483983,627.668211606939,0,156.792358142812,0,627.667901257929,0,157.54194189596,0.001
5,10,1,-7.52885753700826,-3.31094532035805,-3.76362757782507,-5.05739171003317,-0.743727991415493,3.40272958841737,-2.48064769151334,0.737707231035927,0.0950982426157897,6.30198934983227e-45,0.00099783658494839,0.0971678576504521,204407.803790515,0.0756921308348415,676.05428930515,0,156.792386787834,0,627.668253593485,0,157.54194189596,0.001
1,11,1,-8.73835881490464,-2.43038704761326,-2.36082415140407,-3.20510311930449,-2.21689165949757,2.96712780204358,-2.75551487234272,0.00714680124979954,9.45301783958626e-44,9.4900289031454e-08,4122.54624106683,0.0784171437306493,6767.75021157405,0.0783991803888031,1829.323378045,0,635.84886113804,0,635.868699906943,0,139.625644340611,0.001
2,11,1,-8.82784299426408,-1.91461191102941,-3.42254215897216,-5.80480841279184,-1.79894178377241,2.56194443599477,-3.54148812093719,0.00715149918840426,1.64167062896734e-21,2.47530227589743e-07,0.00101026719476223,0.10110361438414,1795280.12191267,0.0784215986748314,1829.32338512567,0,139.606704551428,0,635.848648896709,0,139.625644340611,0.001
3,11,1,-6.00910682043905,-3.5455996876225,-2.94816185991569,-3.76327344181326,-2.6054045542746,1.82546588284848,-1.72361924252806,0.000783200269143132,0.09915496021328,1.0448747684376,1603.64520389443,0.0784399620581542,2065006.28065665,0.0784202755821707,138.873163576444,0,635.849181481514,0,635.848048102175,0,139.625644340611,0.001
4,11,1,-5.79789270300629,-2.93213961473079,-0.818929693123086,-4.68413684212698,-2.16998983894885,2.46293460384038,1.00237807031131,0.00078331260539842,0.0991555819538804,1.04482738249361,10309.2385183118,0.0784471639216098,11.7392109745464,2.72475378610821,138.873137385778,0,635.848716718778,0,4861.27252510843,0,139.625644340611,0.001
5,11,1,-7.42467412530027,-2.29634358589264,-2.29892706585989,-5.02359460828371,-2.82184719649493,1.63810832141213,-3.16659110704315,0.745865774649562,0.097954265995486,2.37070669449224e-36,0.00101025213481548,0.101091405929631,193611.74905479,0.0784398148869249,690.6654527856,0,139.606710481716,0,635.849180019509,0,139.625644340611,0.001
1,12,1,-7.82644547998953,-1.74478563290644,-1.20514030511518,-3.46294073290893,-1.88707761846368,2.23905098212622,-2.53548081049988,0.00158944908367518,0.102644972774598,0.918774641644056,2104.79000687654,0.0787825597679892,120277286.114207,0.078786948461451,150.07998141187,0,569.19477512496,0,569.194044400769,0,152.663001403457,0.001
2,12,1,-5.24173464484994,-2.00945857609165,-1.96043992401162,-2.81719137170705,-1.85418422702433,1.49977361359132,0.149712058123947,0.00696520612100217,1.12657044480863e-05,6.55936942880349e-05,10304.6623750627,0.0787782318718944,206717.739413017,0.078784242715135,1790.70883886986,0,569.194275880586,0,569.194847165827,0,152.663001403457,0.001
3,12,1,-7.55712250535882,0.286625350379176,-1.5560860710238,-4.3639474579834,0.776425088553731,-0.325394970096393,-3.85029906302499,0.000522376218094969,1.33192511474873,0.210960140481117,28805.9237590681,0.0787740456269388,0.745977410611194,0.0997516390778737,4825.29830385034,0,569.194239155404,0,621.013108029126,0,152.663001403457,0.001
4,12,1,-8.86074312805095,-2.39615462327217,-1.61214058523584,-3.46327907803699,-3.31670650876571,2.10273892356216,-0.531637659940328,0.0069595126690295,1.1913957878007e-56,3.28807334189258e-08,2169.51640159364,0.0787753454044297,206423.001756613,0.0787784805595873,1790.70905346473,0,569.194630955156,0,569.194839190834,0,152.663001403457,0.001
5,12,1,-6.65924700036702,-3.01383857981196,-1.5906977696093,-3.5691965468311,-3.54768842257807,3.65941574329893,-2.41237633750174,0.745743114926545,0.0997420621371485,3.81950623845144e-05,20525.5624604606,0.0787631638128359,117550.303429856,0.0787959715140828,620.987629655429,0,569.193780422991,0,569.195106550945,0,152.663001403457,0.001
1,13,1,-6.56261157348219,-2.34614780778579,-3.73305627092632,-6.02318632658588,-2.16363730903052,2.45879986523305,-1.69394491253058,0.756885068047263,0.102672746333017,1.81895563864818e-05,0.00102496023806587,0.103863180532926,195301.102068984,0.080863328533049,625.334687702457,0,137.835496130147,0,573.929587259815,0,139.324946018518,0.001
2,13,1,-6.12320838917527,-1.69936192143611,-3.99695269720692,-4.54100375054471,-1.06023368365622,2.88495751930075,-1.49591157468954,0.756976573571559,0.102684194725378,1.46959155872074e-05,10210.7962156945,0.080869168406723,12367790.2946899,0.0808652767493451,625.336955378731,0,573.92940549086,0,573.928943131252,0,139.324946018518,0.001
3,13,1,-7.6125926575795,-2.48121537363722,-1.21510444316052,-5.1258793766034,-1.54806284022649,2.4785911700959,-2.56066290737439,0.000574087436946452,0.0996490714236674,1.10272546197605,0.00102499592831991,0.103860421075961,194272.788354273,0.08086598935891,135.07542573228,0,137.835496571543,0,573.929422033156,10,139.324946018518,0.001
4,13,1,-6.72116901800385,-4.71906785047782,-3.26237565184931,-5.73981764224115,-3.09138415849838,4.19848570937201,-3.03051366478499,0.000575203061202866,0.0996706145103137,1.1024366819612,0.00102493864679336,0.103861668535996,81054.493703213,0.0808548061092872,135.075418895154,0,137.83549862275,0,573.930490169028,0,139.324946018518,0.001
5,13,1,-7.54639773610246,-2.68773233502112,-4.19251891409305,-2.2027970818151,-1.73124072366453,0.835689960329394,-1.9244371370825,0.000574103085555211,0.0996821347937519,1.10276098725101,873.436544970214,0.08089435680261,1519352.38881148,0.080862763905267,135.075409323669,0,573.930659552571,0,573.92903160007,0,139.324946018518,0.001
