fittingattempt,dataset,K,initbetaNL,initgammaNL,initKNL,initbetaDD,initgammaDD,initbetaFD,initgammaFD,betaNL,gammaNL,KNL,betaDD,gammaDD,betaFD,gammaFD,lik,conv,likDD,convDD,likFD,convFD,NLLtrue,truebeta
1,1,1,-7.146405521,-3.876737896,-2.431046592,-4.857836273,-2.287830133,2.323113848,-2.443402756,0.456428944,0.052316384,2.06E-05,9866.053526,0.043899379,736273.5628,0.043888975,1260.723768,0,1365.335043,0,1365.334547,0,228.4305988,5.00E-04
2,1,1,-5.222124626,-3.363392583,-0.128440802,-4.572831078,-3.519568571,1.505650916,-4.355437311,0.000492237,0.050585288,0.999869667,1139.021067,0.043894485,884305.5221,0.043891347,227.6025064,0,1365.336269,0,1365.334762,0,228.4305988,5.00E-04
3,1,1,-8.56287279,-1.96360573,-3.840391407,-5.959661702,-3.945116058,3.543359139,-2.325969293,0.018106906,3.45E-08,0.010959582,0.000491833,0.050574637,915533.3456,0.043898013,3145.525583,0,227.6025059,0,1365.33414,0,228.4305988,5.00E-04
4,1,1,-7.784711835,-1.455853865,-1.58713414,-5.273703919,-1.54330023,2.38034435,-2.686051468,0.000491855,0.05057314,0.999977011,0.007507284,0.045069595,34397.7174,0.043905727,227.6025249,0,1514.408773,0,1365.343274,0,228.4305988,5.00E-04
5,1,1,-5.940726596,-2.757334265,-2.296447712,-5.674724181,-4.192303147,0.94102163,-3.82755363,0.455454031,0.052331372,0.000182834,0.000491782,0.050576754,114060.3317,0.043890496,1260.576568,0,227.6025234,0,1365.33676,0,228.4305988,5.00E-04
1,2,1,-7.682381001,-3.539589749,-1.098565178,-4.145714178,-4.998819121,2.056744377,-3.843437529,0.000498407,0.048891934,0.997967189,5938.093348,0.043076791,953067.8182,0.043077592,232.7494539,0,1358.839057,0,1358.838715,0,233.9033778,5.00E-04
2,2,1,-8.211981487,-2.382058597,-1.224836325,-5.676829585,-2.363285765,2.000881131,-3.21406552,0.000497915,0.048876344,0.998142813,0.000492205,0.048843133,967140.6821,0.043083281,232.7494501,0,232.7535195,0,1358.838713,0,233.9033778,5.00E-04
3,2,1,-9.595119995,-4.266633355,-2.925129298,-3.458220252,-2.633982983,1.299709317,0.416038935,0.015846439,5.07E-06,0.034766464,5794.700891,0.043076517,0.440275519,0.051551407,3200.196896,0,1358.839107,0,1224.627611,0,233.9033778,5.00E-04
4,2,1,-7.022525327,-3.166860363,-2.130553577,-6.05529675,-2.123937883,1.100351359,-0.901797616,0.015841188,2.14E-06,0.034765313,0.000492211,0.04884745,110717855.7,0.043089228,3200.201838,0,232.7535224,0,1358.838682,0,233.9033778,5.00E-04
5,2,1,-7.829869971,-0.881536408,-2.229963856,-5.36066817,-2.680283447,3.13746173,-4.106667573,0.000497563,0.048871935,0.998215563,0.000492191,0.048845343,109362.9639,0.04308048,232.7494753,0,232.7535079,0,1358.841014,0,233.9033778,5.00E-04
1,3,1,-7.37225787,-3.267304869,-2.355694479,-2.652996322,-4.734103869,0.178800593,-2.08028746,0.000430085,0.049332868,1.024694003,18749.2328,0.043385844,100915.5999,0.043392123,231.654321,0,1351.121392,10,1351.123597,0,232.2821996,5.00E-04
2,3,1,-8.33133215,-1.283582065,-3.168844237,-6.117797478,-3.361231426,0.606214877,-4.0018626,0.416121206,0.052578303,1.50E-05,0.000500129,0.049807976,8293727.287,0.043396889,1263.270504,0,232.2555478,0,1351.121164,0,232.2821996,5.00E-04
3,3,1,-5.50816726,-4.12610729,-1.98568181,-5.451723676,-2.38959313,1.365504014,-0.607703708,0.416039065,0.052581663,3.63E-06,0.000500156,0.049803855,103728.7208,0.043396336,1263.281088,0,232.2555509,0,1351.123453,0,232.2821996,5.00E-04
4,3,1,-6.76395141,-4.634161001,-3.378137539,-3.607473361,-1.669493567,1.569805689,-5.433688321,0.415920555,0.052586954,2.67E-05,10511.74128,0.04339049,838900.4621,0.043388881,1263.259482,0,1351.121393,0,1351.12109,0,232.2821996,5.00E-04
5,3,1,-5.976111093,-3.652543299,-2.92824321,-4.950716452,-3.528116131,1.054254911,-2.20039794,0.41612356,0.052584234,2.09E-06,0.000500111,0.049798482,96824.42798,0.043407044,1263.282539,0,232.2555872,0,1351.12379,0,232.2821996,5.00E-04
1,4,1,-7.993292423,-3.145440534,-1.949243819,-5.59718909,-4.331127487,0.911477791,-1.100168003,0.017203596,3.71E-07,0.020093982,0.000481805,0.050250488,110552.4521,0.043792283,3042.217936,0,217.0838845,0,1398.062542,0,219.7954179,5.00E-04
2,4,1,-7.569429324,-4.164969053,-1.893852626,-6.785230588,-3.508533989,1.940348192,-1.96325936,0.017210968,9.17E-07,0.02000164,0.000481794,0.050241622,115313.7689,0.043788906,3042.217057,0,217.0838586,0,1398.062523,0,219.7954179,5.00E-04
3,4,1,-7.396595633,-1.439719727,-4.29536152,-5.179835254,-3.388069252,2.171453565,-2.913565163,0.000452202,0.050024516,1.010222426,0.007622908,0.044937385,112036.0667,0.043802694,216.9667827,0,1551.787756,0,1398.062591,0,219.7954179,5.00E-04
