"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,0.7,0.0083353401796091,0.0485349225833942,0.688144466321308,0.00169753957411019,0.046465364113628,0.73722962421684,0.0452297597936245,246.306676040868,0,298.090205779399,0,729.499808462126,0,0.00794328234724282
2,1,0.7,0.00833308859677573,0.0485416902847099,0.68822912375884,0.00169753736345317,0.046455207917586,0.737373301989281,0.0452144087474484,246.306734387689,0,298.090128016845,0,729.499758138747,0,0.00794328234724282
3,1,0.7,0.737305317640692,0.0452235034077306,6.57587979985563e-06,0.00169786196123963,0.0464444008032338,0.737362014596479,0.0452243049766166,729.493004538272,0,298.090322447381,0,729.499749721247,0,0.00794328234724282
4,1,0.7,0.737271498726397,0.0452220254569025,2.52390522272237e-06,0.00169738659576594,0.0464547928840984,0.737345913181623,0.0452204925473153,729.497131217428,0,298.090143499107,0,729.499720677175,0,0.00794328234724282
5,1,0.7,0.73740504275261,0.0452233198367295,2.63876154729585e-08,0.00169770206186365,0.0464540005686393,0.737312889092718,0.04523232255894,729.499739849574,0,298.090134248947,0,729.499875010725,0,0.00794328234724282
6,1,0.7,0.737301989773663,0.0452162278784936,7.50596627739108e-07,0.00169742668188987,0.0464461181809583,0.737323457853341,0.0452215252234684,729.498957673979,0,298.090227267468,0,729.499716766977,0,0.00794328234724282
7,1,0.7,0.736679826624455,0.0452200789383688,0.00011212407855165,574.008005604618,0.0397304914307592,0.737136757093037,0.045215540300889,729.385040558121,0,775.33073749183,0,729.499801581694,0,0.00794328234724282
8,1,0.7,0.737190194539588,0.0452222268805905,1.03867570561334e-06,0.00169817965324849,0.0464453855067093,0.737216490299694,0.0452179604084419,729.498670078841,0,298.090398117356,0,729.499729191197,0,0.00794328234724282
9,1,0.7,0.00834519914655766,0.0485314364701175,0.687930115128135,0.00169789288848254,0.0464629382300384,0.737203093197269,0.0452212220079882,246.306721262788,0,298.090212724634,0,729.499727143548,0,0.00794328234724282
10,1,0.7,0.00833851063940868,0.0485367886129362,0.688107655346045,0.00169762034385517,0.0464607991185847,0.737525548024927,0.0452150267975241,246.306685644579,0,298.09014873564,0,729.499880731095,0,0.00794328234724282
11,1,0.7,0.736609179793938,0.0452181078973591,0.000142267348975013,0.00169755113890542,0.0464508573716575,0.737348210143517,0.045215516838245,729.354204652858,0,298.090150601132,0,729.499738790292,0,0.00794328234724282
12,1,0.7,0.737371444774772,0.0452182066612294,4.24058662572794e-07,0.00169769515261774,0.0464557697642277,0.737248198348689,0.045221640928973,729.499299161251,0,298.090130984998,0,729.499714421246,0,0.00794328234724282
13,1,0.7,0.00834001857674343,0.0485448870961588,0.688068342006565,0.00169767876761477,0.0464555626890134,0.737296074280553,0.0452244481141475,246.306741077616,0,298.090129783484,0,729.499730143914,0,0.00794328234724282
14,1,0.7,0.737076567919802,0.0452200453295216,9.91962381150506e-06,0.00169763245673547,0.0464482958408218,0.737279685664406,0.0452186387729665,729.489632598309,0,298.090178475382,0,729.499711991818,0,0.00794328234724282
1,2,0.7,0.749330986056797,0.0478640882811671,1.73842724676668e-06,1.08500512200159e-05,1.66880896204035e-09,0.749137792326485,0.0478666234748995,680.514157313366,0,4683.59911127563,0,680.515826208425,0,0.00794328234724282
2,2,0.7,0.749200162595312,0.0478512586062635,8.12181819336001e-09,0.00173585522806258,0.0489401682714718,0.749208667372988,0.0478544573023676,680.515833638834,0,277.422759115862,0,680.515803623462,0,0.00794328234724282
3,2,0.7,0.749259523139495,0.0478593023865277,4.3323922810556e-06,0.00173488059107458,0.048937881330292,0.749174341971398,0.0478637972340429,680.511537588124,0,277.422278941308,0,680.515795661584,0,0.00794328234724282
4,2,0.7,0.00696609544948736,0.0506842541679442,0.730888379878623,0.00173481061006388,0.0489389631234709,0.749332264553451,0.0478595609117085,240.841779259795,0,277.42227306295,0,680.515835728762,0,0.00794328234724282
5,2,0.7,0.00696246447925234,0.0506747325731559,0.730970186334272,0.00173461855449745,0.0489453418725542,0.74910642758835,0.0478683777366074,240.841726059225,0,277.422316104828,0,680.515857071391,0,0.00794328234724282
6,2,0.7,0.00696873896022289,0.0506798840085795,0.73081629927435,0.00173418152909896,0.0489308187291274,0.749094919658597,0.0478554804447942,240.841721476346,0,277.422377184938,0,680.515823886175,0,0.00794328234724282
7,2,0.7,0.00697015609843395,0.0506730560948315,0.73080831536545,0.00173454586661753,0.0489446058413904,0.749238783158753,0.0478629551352725,240.841711413545,0,277.422309341479,0,680.515799521466,0,0.00794328234724282
8,2,0.7,0.00696471585580596,0.0506625884848397,0.730883394839145,0.00173428021051823,0.0489354488634251,0.749148620793694,0.047867889925803,240.84188299939,0,277.422314229128,0,680.515841345405,0,0.00794328234724282
9,2,0.7,0.749106449884077,0.0478698299001411,5.12594315500476e-10,0.00173493437093716,0.0489327684613832,0.749275131220733,0.0478612938774486,680.515879652613,0,277.42229693523,0,680.515805079001,0,0.00794328234724282
10,2,0.7,0.749196618563003,0.0478549784856872,6.08083845435275e-06,0.00173484769868945,0.0489243617911956,0.749231583356806,0.0478628148213826,680.509814469449,0,277.422389999959,0,680.51579646623,0,0.00794328234724282
11,2,0.7,0.00697140059897107,0.0506748877655955,0.730753190730977,0.00173429564487802,0.0489420430304168,0.74925712956767,0.0478636079463095,240.841699919182,0,277.422321848994,0,680.515811167582,0,0.00794328234724282
12,2,0.7,0.746088160524771,0.0478446885075863,0.000657135548757109,0.00173473019520768,0.0489196189513756,0.749256304391702,0.0478685219055405,679.869770452953,0,277.42249383233,0,680.515872318974,0,0.00794328234724282
13,2,0.7,0.749118704536092,0.0478634675409857,2.92375986020137e-06,0.00173479055167091,0.0489413301975551,0.749131665266841,0.0478595060098386,680.512920450458,0,277.42228373213,0,680.515788763951,0,0.00794328234724282
14,2,0.7,0.749088111320663,0.0478545702084545,2.6288790738524e-05,0.00173464161135996,0.0489412514275199,0.748969456324734,0.0478518011919498,680.489923661823,0,277.422275963908,0,680.515985862982,0,0.00794328234724282
1,3,0.7,0.741138183594929,0.0467674438839413,5.2336917198612e-12,0.00170945137455276,0.0472808353553026,0.74106504585931,0.0467658755966167,628.624156041922,0,283.770231324083,0,628.624185031346,0,0.00794328234724282
2,3,0.7,0.739533976307604,0.0467850213755258,0.000271411555980699,0.00170908170054865,0.0472917944265205,0.741199925742295,0.0467632066903097,628.371937437141,0,283.770274791075,0,628.624203251756,0,0.00794328234724282
3,3,0.7,0.00874076204474002,0.0493372798025945,0.68382313982872,0.00170896389679581,0.0472844989371048,0.74111031333851,0.0467650434798514,240.076047034203,0,283.770267746516,0,628.624179145287,0,0.00794328234724282
4,3,0.7,0.741175618381187,0.0467612515842942,6.65751864096098e-07,0.00170936396374515,0.0472890528304346,0.741034455480517,0.0467689557376492,628.623608720429,0,283.770229038431,0,628.624178029665,0,0.00794328234724282
5,3,0.7,0.718888108330604,0.0467792788398764,0.0046923575646719,0.00170949471576506,0.0472817529194117,0.741114612100047,0.0467687661918535,624.292323822087,0,283.770228633141,0,628.624151403286,0,0.00794328234724282
6,3,0.7,0.00873558283619144,0.0493419656116907,0.683903839038522,0.00170941179764341,0.0472968466565815,0.741361462660271,0.046762474892263,240.076015450382,0,283.77033841149,0,628.624323965177,0,0.00794328234724282
7,3,0.7,0.00873044975952186,0.0493314425743494,0.684078424343224,0.00170923093741534,0.047290626819174,0.741041305809548,0.0467715388316022,240.07615859978,0,283.770245466815,0,628.624169255514,0,0.00794328234724282
8,3,0.7,0.740185024954832,0.046770250662754,0.000140706393455669,0.00170941653598594,0.0472848259666585,0.741110661330772,0.0467675006890023,628.493372838712,0,283.770215861898,0,628.624158208973,0,0.00794328234724282
9,3,0.7,0.741056011937844,0.0467711937175974,3.16364503275922e-06,0.00170982376454278,0.0472852546085425,0.741293409307896,0.0467706581724434,628.62121106116,0,283.770287348093,0,628.624217282232,0,0.00794328234724282
10,3,0.7,0.741267424414378,0.0467647913991583,1.27358017546216e-08,0.00170938306612277,0.0472769797286324,0.741094856391506,0.0467733664899226,628.624204528402,0,283.770269571605,0,628.62415671339,0,0.00794328234724282
11,3,0.7,0.0087443924695683,0.0493405129980476,0.683679213990713,0.00170925622635312,0.0472784566000811,0.74119393841234,0.0467688948754878,240.076098858003,0,283.770256952356,0,628.624158288582,0,0.00794328234724282
12,3,0.7,0.741173949000257,0.0467728223640865,3.73869569405951e-07,0.00170901592181844,0.0472747593483623,0.741105288583016,0.0467711206453691,628.623810086212,0,283.770354388518,0,628.624149055526,0,0.00794328234724282
13,3,0.7,0.741125819596927,0.0467649519645076,1.12259138630501e-58,0.00170932619246347,0.0472758329381125,0.741245634161619,0.0467742810821909,628.624177618313,0,283.770288114858,0,628.624200959386,0,0.00794328234724282
14,3,0.7,0.74107564358209,0.046771163056753,2.88569101736753e-07,0.0017087576072755,0.047290609088109,0.741082740251506,0.0467719117934971,628.62388650726,0,283.770353053715,0,628.624154457768,0,0.00794328234724282
1,4,0.7,0.0196106398048995,8.1450771726652e-36,4.99592004101498e-09,0.00164047002236961,0.0485933388143211,0.743029244046765,0.0470305373189108,4323.87421534033,0,283.048474090473,0,713.726931396876,0,0.00794328234724282
2,4,0.7,0.743344352918746,0.0470375133689619,3.33525217968069e-07,0.00164095235487757,0.0486040997808952,0.743142463095106,0.0470357164671072,713.726384159583,0,283.048556155479,0,713.726756244772,0,0.00794328234724282
3,4,0.7,0.00724013699708975,0.0507273269883982,0.710875929340984,0.00164072424137109,0.0485951031362151,0.743362914062645,0.047041400932226,240.625345589645,0,283.04843736697,0,713.726754304948,0,0.00794328234724282
4,4,0.7,0.742490915645967,0.0470407360554094,0.000138647618579137,0.00164057346160887,0.0485866900529687,0.74327552835685,0.0470429506686001,713.583110236937,0,283.048477400666,0,713.726734514526,0,0.00794328234724282
5,4,0.7,0.743200565060254,0.0470402856719039,2.08507216526225e-08,0.00164088220426586,0.0485932024784024,0.743301839511056,0.0470340843359251,713.726700718842,0,283.048433011507,0,713.726727344953,0,0.00794328234724282
6,4,0.7,0.74305329762806,0.0470357170413803,1.13180691882709e-05,0.00164032040382515,0.0485884349436976,0.74317819221567,0.0470364870168837,713.715055606703,0,283.048540569361,0,713.726732172369,0,0.00794328234724282
7,4,0.7,0.00723278837500336,0.0507297745916668,0.711033937859724,0.00164062936707038,0.0485900680794069,0.743272164392997,0.0470365098193885,240.625397601243,0,283.048445411173,0,713.72671253264,0,0.00794328234724282
8,4,0.7,0.743202653407123,0.0470457371558319,3.62748824164949e-201,0.00164081958258827,0.0485945553276889,0.743239957900172,0.047040315930146,713.726768335425,0,283.048433722528,0,713.726715351632,0,0.00794328234724282
9,4,0.7,0.00724098176871833,0.0507457005509257,0.710870421404069,0.00164093094836701,0.0485999863246704,85198.9429508631,0.041241752627214,240.625512548178,0,283.04848725021,0,739.233726075845,0,0.00794328234724282
