fittingattempt,dataset,K,betaNL,gammaNL,KNL,betaDD,gammaDD,betaFD,gammaFD,lik,conv,likDD,convDD,likFD,convFD,truebeta
1,1,0.9,0.021260808,3.14E-12,7.69E-08,867.7698407,0.038914759,0.727122401,0.043616223,3917.589308,0,1012.390215,0,1018.184825,0,0.001995262
2,1,0.9,0.727095869,0.043624072,5.11E-08,528.9778747,0.038931964,0.72726048,0.043623006,1018.184745,0,1012.390387,0,1018.184839,0,0.001995262
3,1,0.9,0.725611784,0.043617179,0.000312496,0.001197488,0.048133131,0.727090477,0.043625499,1017.881221,0,255.9647354,0,1018.184805,0,0.001995262
4,1,0.9,0.005855916,0.063219355,0.69706073,5324.969326,0.038925969,0.727221736,0.043629937,356.61595,0,1012.388524,0,1018.184902,0,0.001995262
5,1,0.9,0.002173207,0.049324417,0.88206633,3876.330005,0.038937585,0.72706429,0.043617939,250.1012752,0,1012.388704,0,1018.184821,0,0.001995262
6,1,0.9,0.021264809,1.83E-20,2.33E-08,0.001196294,0.048150161,0.726948104,0.043628444,3917.589277,0,255.9649826,0,1018.184913,0,0.001995262
7,1,0.9,0.727070558,0.043619972,8.13E-95,0.001197323,0.048137278,0.727230168,0.043618144,1018.184802,0,255.9645838,0,1018.184826,0,0.001995262
8,1,0.9,0.727179828,0.043621282,3.89E-09,4892.722817,0.038930216,0.727095961,0.043615181,1018.18479,0,1012.388489,0,1018.184846,0,0.001995262
9,1,0.9,0.021260709,1.39E-10,1.88E-08,1105.424656,0.038940064,0.726926256,0.043629602,3917.589272,0,1012.38953,0,1018.18495,0,0.001995262
10,1,0.9,0.002174805,0.049333998,0.881953795,5801.639785,0.038933926,0.727285894,0.043617559,250.101263,0,1012.388423,0,1018.184867,0,0.001995262
11,1,0.9,0.00206648,0.048770559,0.891807405,0.0011968,0.048135352,0.727061698,0.043621585,250.3204325,0,255.9645167,0,1018.1848,0,0.001995262
12,1,0.9,0.002173638,0.049326168,0.882064326,4370.16506,0.038927864,0.727168154,0.043630931,250.101278,0,1012.388652,0,1018.184897,0,0.001995262
13,1,0.9,0.727281001,0.043612001,2.07E-08,834.9056577,0.038932712,0.727122655,0.043619566,1018.184924,0,1012.389681,0,1018.184793,0,0.001995262
14,1,0.9,0.002174152,0.049340591,0.882010419,0.001196742,0.048132323,0.727193084,0.043636215,250.1013187,0,255.964566,0,1018.185063,0,0.001995262
1,2,0.9,0.727067804,0.043780789,3.39E-05,1771.276128,0.038993137,0.727175612,0.043779607,1014.035912,0,1020.875647,0,1014.068233,0,0.001995262
2,2,0.9,0.021136507,3.69E-20,3.06E-09,1034.522034,0.03899324,0.7272951,0.043795681,4068.136287,0,1020.875552,0,1014.068337,0,0.001995262
3,2,0.9,0.72712001,0.043784789,2.03E-08,0.001188091,0.047607429,0.727097562,0.04378983,1014.068211,0,255.7178538,0,1014.068263,0,0.001995262
4,2,0.9,0.724539707,0.043786236,0.000568029,0.001188036,0.047604817,0.727210347,0.043780429,1013.527986,0,255.7179045,0,1014.068208,0,0.001995262
5,2,0.9,0.002058232,0.04872024,0.892590066,863.9250527,0.038999674,0.727229923,0.043782245,249.1556684,0,1020.875552,0,1014.068189,0,0.001995262
6,2,0.9,0.727238095,0.043779584,1.89E-28,0.001188256,0.047613054,0.727147052,0.043783865,1014.068211,0,255.7178186,0,1014.068214,0,0.001995262
7,2,0.9,0.002049865,0.048724909,0.893377487,0.001188159,0.047623383,0.727298368,0.04379342,249.1561555,0,255.7177919,0,1014.068283,0,0.001995262
8,2,0.9,0.021136817,2.08E-12,1.31E-08,0.001187933,0.047611278,0.727234971,0.043778201,4068.136294,0,255.7178102,0,1014.068231,0,0.001995262
9,2,0.9,0.002058742,0.048719159,0.892543305,5184.697002,0.039013628,0.72723873,0.043792348,249.1556795,0,1020.874708,0,1014.06825,0,0.001995262
10,2,0.9,0.727111898,0.043785105,1.80E-05,2.45E-34,5.36E-22,0.727338251,0.043776979,1014.051024,0,4805.646019,0,1014.068259,0,0.001995262
11,2,0.9,0.021136976,4.20E-23,1.30E-08,981.2961378,0.038987304,0.727135847,0.043784791,4068.136295,0,1020.875562,0,1014.068219,0,0.001995262
12,2,0.9,0.021132449,1.22E-13,1.97E-08,0.001188406,0.047617491,0.727465635,0.043771727,4068.136327,0,255.7178771,0,1014.068461,0,0.001995262
13,2,0.9,0.726580291,0.043783058,0.000149106,0.001187934,0.047607163,0.727101253,0.043791718,1013.926273,0,255.7178697,0,1014.068283,0,0.001995262
14,2,0.9,0.021137485,1.61E-79,1.36E-08,48241.66608,0.038981291,0.727203307,0.043794955,4068.136299,0,1020.874598,0,1014.0683,0,0.001995262
1,3,0.9,0.714271729,0.043871953,8.78E-230,0.001224672,0.047508928,0.714689968,0.043904571,946.9250047,0,254.5833187,0,946.9262875,0,0.001995262
2,3,0.9,0.638237224,0.043899087,0.017107509,1302.078837,0.038999936,0.714390403,0.043882481,932.0662074,0,975.4807778,0,946.9249685,0,0.001995262
3,3,0.9,0.713513134,0.043896922,0.000139855,1051.163936,0.039003296,0.714649823,0.043871909,946.7997262,0,975.4803484,0,946.9255444,0,0.001995262
4,3,0.9,0.7141774,0.043879165,1.44E-173,5363.865518,0.039003336,0.714073353,0.04387804,946.9248607,0,975.4791676,0,946.9249115,0,0.001995262
5,3,0.9,0.714227987,0.043879419,3.28E-08,0.001224872,0.04752701,0.713763007,0.043891189,946.9248337,0,254.5836644,0,946.925323,0,0.001995262
6,3,0.9,0.021086469,5.40E-19,2.83E-08,0.001224564,0.047480733,0.714010751,0.043888524,4103.449811,0,254.5839094,0,946.924928,0,0.001995262
7,3,0.9,0.714211133,0.043881354,1.81E-09,58569.73193,0.038994908,0.714458502,0.043882451,946.9248449,0,975.4790862,0,946.9250636,0,0.001995262
8,3,0.9,0.714102196,0.043888243,9.75E-11,0.001224145,0.047502648,0.714006687,0.043884767,946.9248723,0,254.5836542,0,946.9249145,0,0.001995262
9,3,0.9,0.002488519,0.048895115,0.859838186,0.001224839,0.047505407,0.714309393,0.043869246,245.0532385,0,254.5833156,0,946.9250986,0,0.001995262
10,3,0.9,0.021087724,1.01E-06,8.08E-07,0.001224487,0.0475175,0.714093907,0.043875338,4103.447785,0,254.5834713,0,946.9249464,0,0.001995262
11,3,0.9,0.002485672,0.048890164,0.860067453,0.001224934,0.047514841,0.714172208,0.043877974,245.0532521,0,254.5833921,0,946.924875,0,0.001995262
12,3,0.9,0.714120358,0.043888393,1.58E-08,0.001224824,0.04751071,0.714052334,0.043885195,946.9248549,0,254.5833263,0,946.9248793,0,0.001995262
13,3,0.9,0.714239026,0.043881741,1.38E-11,0.001224902,0.047518608,0.714122725,0.043908206,946.9248522,0,254.5834452,0,946.9255291,0,0.001995262
14,3,0.9,0.002487334,0.048885519,0.859924854,981.6232155,0.03900233,0.714103407,0.04387322,245.0532822,0,975.4802568,0,946.9249897,0,0.001995262
1,4,0.9,0.002207957,0.048272858,0.886300533,958.3305692,0.038633177,0.735279794,0.043329945,238.6358213,0,943.5643243,0,942.1013105,0,0.001995262
2,4,0.9,0.734686301,0.043338638,0.000108124,30371.16553,0.038646159,0.735154736,0.043338775,941.9998697,0,943.5639321,0,942.1011962,0,0.001995262
3,4,0.9,0.735279572,0.043345126,1.93E-14,572.6650844,0.038645886,0.735418968,0.043333633,942.1011979,0,943.5653886,0,942.1013023,0,0.001995262
4,4,0.9,0.021279087,7.28E-38,2.48E-08,0.001244787,0.047184696,0.73534545,0.043339865,4073.960773,0,244.1463252,0,942.1011993,0,0.001995262
5,4,0.9,0.735053682,0.043333226,1.43E-05,0.001244429,0.047204337,0.735273739,0.043348301,942.0878907,0,244.1457758,0,942.1012436,0,0.001995262
6,4,0.9,0.002208866,0.048280301,0.886197402,0.00124417,0.047203495,0.735251173,0.043346484,238.6358259,0,244.1456744,0,942.1012086,0,0.001995262
7,4,0.9,0.732946043,0.043342354,0.000445892,0.00124381,0.047197289,0.735442481,0.043334976,941.683758,0,244.1457401,0,942.1013078,0,0.001995262
8,4,0.9,0.002211646,0.04827752,0.885959197,0.001243807,0.047202216,0.735328993,0.043343309,238.6358411,0,244.1457282,0,942.1012016,0,0.001995262
9,4,0.9,0.021279558,8.10E-41,9.35E-08,7174.518805,0.038637769,0.735041205,0.043343259,4073.960818,0,943.5636452,0,942.1012851,0,0.001995262
10,4,0.9,0.002209653,0.048280862,0.88616153,286.2612606,0.038643611,0.735158739,0.043343319,238.6358242,0,943.5676295,0,942.1011975,0,0.001995262
11,4,0.9,0.002210082,0.048278687,0.886126942,1.15E-05,6.06E-09,0.73511946,0.04333874,238.6358196,0,4581.155156,0,942.1012179,0,0.001995262
12,4,0.9,0.735021908,0.043340744,2.68E-05,0.001244403,0.04719621,0.735109027,0.043343934,942.076123,0,244.1457753,0,942.1012281,0,0.001995262
13,4,0.9,0.021279731,4.00E-08,1.78E-07,56650.5006,0.038642267,0.735287573,0.043344302,4073.960771,0,943.5633877,0,942.101192,0,0.001995262
14,4,0.9,0.735186604,0.043340323,1.72E-05,0.001244568,0.047197125,0.735094553,0.043348879,942.0850645,0,244.1458816,0,942.1012949,0,0.001995262
1,5,0.9,0.020951357,7.17E-21,1.86E-08,559.1075845,0.039531649,0.734371128,0.044348174,3887.850171,0,1003.351437,0,1018.199162,0,0.001995262
2,5,0.9,0.020954932,7.19E-19,1.34E-08,0.001222133,0.04876636,0.733799893,0.04435422,3887.850155,0,247.2207014,0,1018.198564,0,0.001995262
3,5,0.9,0.0023492,0.050092486,0.87153005,0.001222055,0.048801993,0.733757255,0.044349015,238.0320069,0,247.2219286,0,1018.198587,0,0.001995262
4,5,0.9,0.020955301,6.15E-09,4.16E-07,0.00122225,0.048775151,0.733888157,0.04433016,3887.850381,0,247.2207721,0,1018.199014,0,0.001995262
5,5,0.9,0.002349493,0.050095391,0.871512676,0.001222449,0.048754902,0.734110127,0.044357134,238.0320027,0,247.2207173,0,1018.198732,0,0.001995262
6,5,0.9,0.002347335,0.050090741,0.871680337,6945.439022,0.039525754,0.733685088,0.04434263,238.032017,0,1003.349834,0,1018.198748,0,0.001995262
7,5,0.9,0.020952712,6.49E-14,1.00E-09,1.12E-05,4.52E-08,0.733894674,0.044353153,3887.850147,0,4378.33477,0,1018.198537,0,0.001995262
8,5,0.9,0.020954407,4.51E-08,8.51E-08,5671.310708,0.03953346,0.734062525,0.044351346,3887.85009,0,1003.349435,0,1018.198613,0,0.001995262
9,5,0.9,0.733769322,0.044359788,1.10E-05,929.2148756,0.039538185,0.733773328,0.044351195,1018.187873,0,1003.350799,0,1018.198569,0,0.001995262
10,5,0.9,0.733473747,0.044348834,6.99E-05,0.001222339,0.048753499,0.734154339,0.044350114,1018.130041,0,247.220726,0,1018.19872,0,0.001995262
11,5,0.9,0.020953783,4.54E-19,3.48E-09,4710.533831,0.039534657,0.733989064,0.044351151,3887.850145,0,1003.349707,0,1018.198557,0,0.001995262
