"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,1,0.732854560678557,0.044594439872364,3.98308024817528e-109,0.0010043155889002,0.0492549849472222,0.732857180477072,0.044587100138856,1082.67581523898,0,249.59314168186,0,1082.67587429719,0,0.001
2,1,1,0.725725972353586,0.0445953448422069,0.00151672914279227,22274.2172310525,0.0398114238296259,0.733070732323201,0.044583577971528,1081.33961387776,0,1063.42324705514,0,1082.67591368352,0,0.001
3,1,1,0.0208753267359951,8.78124346171144e-13,2.34013858197955e-08,953.124148630235,0.0398000858022914,0.733132715067762,0.0445892395585745,3806.67716795364,0,1063.42412011991,0,1082.67587116989,0,0.001
4,1,1,0.732984972352504,0.0445908884703732,4.43749224312503e-15,0.00100381996790934,0.0492549028546403,0.732877530597153,0.0445885475195238,1082.67579032262,0,249.593105663131,0,1082.67583983483,0,0.001
5,1,1,0.70725595666074,0.0445823345584897,0.00554314306830176,13548.8160985448,0.0398023875477785,0.732777239307444,0.0445943656007046,1077.83149275698,0,1063.42342858313,0,1082.6758795916,0,0.001
6,1,1,0.0208711880597566,1.34968120791694e-08,1.18628945439657e-07,0.00100415559310593,0.0492592290528072,0.733074502359905,0.0446057558567522,3806.67708641842,0,249.593097603631,0,1082.67599877625,0,0.001
7,1,1,0.733014362705871,0.0445952265478418,1.30871886153026e-60,0.00100413994910454,0.049261842515389,0.733132519077418,0.04458709970647,1082.67579133575,0,249.593135327883,0,1082.67589291439,0,0.001
8,1,1,0.0208677424246898,1.53940323825727e-17,2.16252127503936e-08,0.0010042198761842,0.0492408934656413,0.73261109193187,0.0445823255297768,3806.67706173238,0,249.593148402533,0,1082.67634027082,0,0.001
9,1,1,0.0208675464182729,6.13084555223942e-29,3.87528345439047e-07,22996.7595474999,0.0398150167407609,0.733145756968569,0.0445947712095633,3806.677235033,0,1063.42333724566,0,1082.67587588176,0,0.001
10,1,1,0.733058428196939,0.0445952513398003,4.44991933692256e-10,0.00100412005274629,0.049274719226792,0.733178045953834,0.0445959797045358,1082.67580946805,0,249.593499113642,0,1082.67592019564,0,0.001
11,1,1,0.0208673185204139,3.99364719121226e-31,1.35118200808179e-08,0.00100429535399234,0.0492495690406708,0.732786432566672,0.0445984169594249,3806.67706168051,0,249.593118909142,0,1082.67588458295,0,0.001
12,1,1,0.0208714103307499,1.03883199843551e-21,3.27533334519365e-07,0.00100405008099456,0.0492367346727422,0.733073748575583,0.0445851805721577,3806.67721633803,0,249.593156299975,0,1082.67588340012,0,0.001
13,1,1,0.000997669143957153,0.0492372424706602,1.00120645781409,10023.7698395772,0.0398041259336145,0.732864803341909,0.0446039847546497,249.592428483578,0,1063.42305288038,0,1082.67591540315,0,0.001
14,1,1,0.732942684859807,0.0445982705854719,9.0858303838616e-06,8017.6316427444,0.0398060631048608,0.733046443390555,0.0445978154813636,1082.66777819413,0,1063.42278980454,0,1082.6758233126,0,0.001
1,2,1,0.000720580403922092,0.0485278438309273,1.0611832702646,0.00099763805075091,0.0493323856144317,0.744317570974161,0.0448669423507809,253.013268438295,0,254.929563255435,0,1041.59417829708,0,0.001
2,2,1,0.74435384842785,0.0448575117008969,3.81060635291541e-17,579.094608724519,0.040000901784669,0.744106998873199,0.0448596096389286,1041.59413760649,0,1017.9311092777,0,1041.59433428768,0,0.001
3,2,1,0.0207148451564998,2.80956785245265e-54,1.80303309699681e-08,0.000997294042274892,0.049340637988886,0.744452557955387,0.0448549658276801,3836.10391508869,0,254.929810575054,0,1041.59416954445,0,0.001
4,2,1,0.74430863723984,0.0448637951797541,4.91089561781068e-15,1054.55655500108,0.0400163419839144,0.744460816009622,0.044842303172772,1041.59414858602,0,1017.93079520476,0,1041.59449332041,0,0.001
5,2,1,0.000720061866917981,0.0485206826626873,1.06132463149173,1016.4586436036,0.039994004149718,0.744159016292951,0.0448608927428891,253.013261014502,0,1017.93091257564,0,1041.59425809597,0,0.001
6,2,1,0.74395365090802,0.0448594759478739,7.02689375728892e-05,1017.88862906157,0.0399963499893557,0.744167580343501,0.0448620680287152,1041.53303276198,0,1017.93081690702,0,1041.59424733868,0,0.001
