fittingattempt,dataset,K,betaNL,gammaNL,KNL,betaDD,gammaDD,betaFD,gammaFD,lik,conv,likDD,convDD,likFD,convFD,truebeta
1,1,1,0.741026388,0.097111797,1.53E-06,0.000982148,0.099353314,0.741117882,0.097129776,672.5610538,0,144.8548663,0,672.5621542,0,0.001
2,1,1,0.74105647,0.09710988,3.02E-09,0.000982042,0.099390958,0.741047473,0.097088667,672.5620756,0,144.8547905,0,672.5621171,0,0.001
3,1,1,0.001141957,0.10055476,0.973562859,2.23E-31,7.49E-22,0.741176903,0.097071488,144.5494423,0,1810.318804,0,672.5622578,0,0.001
4,1,1,0.007183919,3.86E-19,2.50E-08,8121.137918,0.077984395,0.74091613,0.097139748,1779.791145,0,613.0843366,0,672.5621828,0,0.001
5,1,1,0.74100799,0.097118007,2.77E-15,0.000982118,0.099359218,0.740828016,0.097120963,672.5620817,0,144.854819,0,672.5621565,0,0.001
6,1,1,0.007179156,6.13E-10,4.04E-06,3.51E-06,2.40E-08,0.74128304,0.097086451,1779.79121,0,1801.899383,0,672.5622661,0,0.001
7,1,1,0.740743951,0.097111835,5.38E-05,3937.472205,0.077946799,0.741347098,0.097012277,672.5260363,0,613.0844241,0,672.5631873,0,0.001
8,1,1,0.00718483,4.80E-15,8.23E-07,2406.389092,0.077940719,0.741165383,0.097098429,1779.791162,0,613.0850037,0,672.5621306,0,0.001
9,1,1,0.007181085,2.99E-06,9.20E-06,3.53E-06,7.69E-08,0.741097002,0.097141585,1779.791012,0,1801.899695,0,672.5622155,0,0.001
10,1,1,0.740945213,0.097115453,1.26E-42,1.20E-30,2.34E-17,0.741287633,0.097110693,672.5620862,0,1810.318804,0,672.5622468,0,0.001
11,1,1,0.741020463,0.097115888,2.49E-15,3.52E-06,2.81E-08,0.741448387,0.097090432,672.5620786,0,1801.899339,0,672.5625042,0,0.001
12,1,1,0.001142976,0.100557749,0.973379481,1.13E-24,1.45E-20,0.740709079,0.09707579,144.5494612,0,1810.318804,0,672.5624471,0,0.001
13,1,1,0.007181716,2.31E-15,1.71E-07,0.000981725,0.099349779,0.741344551,0.097144593,1779.791144,0,144.8547876,0,672.5625116,0,0.001
14,1,1,0.740694294,0.09710034,5.75E-05,3.50E-06,8.47E-08,0.741131485,0.097121996,672.5235613,0,1801.899958,0,672.56213,0,0.001
15,1,1,0.689578754,0.097172143,0.010946294,10335.07078,0.077991383,0.741081723,0.097070685,665.4041646,0,613.0843873,0,672.5622299,0,0.001
16,1,1,0.740995043,0.0971007,4.66E-11,69186.4949,0.077951635,0.741002098,0.097078808,672.5620819,0,613.0843736,0,672.5621729,0,0.001
17,1,1,0.740958661,0.097098786,6.86E-06,2123.452711,0.077945699,0.741193295,0.097076704,672.5574944,0,613.0848569,0,672.562233,0,0.001
18,1,1,0.001143371,0.100564683,0.973350007,1015.827325,0.078000999,0.740848557,0.097083625,144.5494525,0,613.0855184,0,672.5622226,0,0.001
19,1,1,0.007180835,5.88E-10,1.39E-07,3825.093531,0.077897865,0.740836603,0.097078332,1779.791143,0,613.0857065,0,672.5622693,0,0.001
20,1,1,0.740998593,0.097115616,1.60E-08,3.56E-06,4.04E-07,0.741343878,0.097110718,672.5620672,0,1801.902264,0,672.5623246,0,0.001
1,2,1,0.000831643,0.099182982,1.035680581,0.00101696,0.10075578,0.751028294,0.105403871,138.5860509,0,138.9870309,0,600.9592908,0,0.001
