"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,1,0.000502119737395295,0.0495905701042567,0.99774688668338,0.000495288208081154,0.0495254418743619,0.417542986226971,0.0524923846445009,223.511337301693,0,223.51773292341,0,1265.57160921892,0,5e-04
2,1,1,0.0171524375337885,6.43508567531099e-07,0.0219276042858839,3556.8934880272,0.0434733425495208,0.417619961596578,0.0524891718140075,3038.45199733952,0,1379.52313135721,0,1265.5715489592,0,5e-04
3,1,1,0.416871979115683,0.0524993688931998,0.000229124774853689,0.000495310372240249,0.0495411549994666,0.417435385162113,0.0524531421792289,1265.36139369809,0,223.517513196935,0,1265.57322103318,0,5e-04
4,1,1,0.000502427931321628,0.0495912103523726,0.997638505840472,0.00049512855785462,0.0495565379605027,0.417465992017253,0.0524913893965476,223.511336479176,0,223.517604506597,0,1265.57173091882,0,5e-04
5,1,1,0.000501606338652898,0.0495855014772742,0.997922019555441,1.2100701919751e-05,1.71950689090944e-07,0.417637180289449,0.0525094702560392,223.511396482282,0,3320.92221584687,0,1265.57170619137,0,5e-04
6,1,1,0.417614147417992,0.0525006848750536,6.40771132199459e-09,11211.9291659181,0.0434518808095305,0.417930963390877,0.0524766603585532,1265.5715674522,0,1379.52157321926,0,1265.57180220376,0,5e-04
7,1,1,0.416300443182007,0.0524963678792416,0.000387130746497853,1.2101449017437e-05,7.86340489531523e-09,0.417404495930961,0.0525083293419602,1265.21654824772,0,3320.91879863643,0,1265.57186530911,0,5e-04
8,1,1,0.417602823585367,0.0524921178873863,3.45283524882955e-07,1.20878324842594e-05,2.72833805055518e-09,0.417734953445456,0.0524711515930017,1265.57123284836,0,3320.91858356892,0,1265.57185326878,0,5e-04
9,1,1,0.414731288205319,0.0525186916927334,0.000828586174402854,0.000495248190246355,0.0495387940175554,0.417665798158613,0.0524636362222195,1264.81195038926,0,223.517452212581,0,1265.57215613676,0,5e-04
10,1,1,0.017135645964031,9.79508662984430e-11,0.0220434567672442,0.000494908650105466,0.0495200006453492,0.417444252780543,0.052501913021693,3038.45303824327,0,223.51821451662,0,1265.57174852049,0,5e-04
11,1,1,0.417337353942402,0.0525010046529544,6.54649345629504e-05,1.21003142310591e-05,2.06052594882359e-08,0.417561513084763,0.0524799327871419,1265.51157019053,0,3320.91900772294,0,1265.57183909047,0,5e-04
12,1,1,0.0171451644326713,2.28771509081664e-06,0.0220004242153049,1.21034033900564e-05,2.01384979651427e-08,0.417446943986014,0.0525024203585562,3038.44931784051,0,3320.91918098068,0,1265.57174684595,0,5e-04
13,1,1,0.01715479253206,1.93282752804107e-17,0.0218743323808805,1.20837424508387e-05,1.18029599218144e-08,0.417618770514147,0.0524884519333003,3038.45301430494,0,3320.91900153351,0,1265.57165899094,0,5e-04
14,1,1,0.0171892604422862,8.48978482262819e-07,0.0215618489495211,0.000495310788147831,0.0495523858235538,0.417610600067707,0.0524839925685061,3038.45178544247,0,223.517538899538,0,1265.57170973467,0,5e-04
1,2,1,0.0175497089359544,2.43398560450402e-05,0.0171056315394898,0.0005061197687925,0.0500756221109842,0.459562216983007,0.0518712967633031,3233.028939649,0,227.132310979327,0,1290.89529229923,0,5e-04
2,2,1,0.0175669724570618,1.64452598395318e-07,0.0166948802154086,0.00050617165108413,0.0500620809057082,0.45793320649906,0.0519138999728778,3233.06612685951,0,227.13254371782,0,1290.89844260316,0,5e-04
3,2,1,0.610711705959381,0.0494243941749135,0.00108380154391937,0.000506375525741966,0.0500943751962041,0.616001288423952,0.0494015652260063,1288.27047804025,0,227.132487757305,0,1288.79481667674,0,5e-04
4,2,1,0.000456978039886597,0.0497528615973578,1.01666038013769,4839.26480381844,0.0435077456343989,0.616364286841056,0.0493949927653946,226.831501707103,0,1360.99933583473,0,1288.79490280916,0,5e-04
5,2,1,0.457590607213518,0.0519040584075404,0.000372051603786675,0.000506278735066564,0.0500954990223871,0.459388458342974,0.0518943682847843,1290.55576012232,0,227.132353862807,0,1290.89531849748,0,5e-04
6,2,1,0.459384851695603,0.0518869122191917,1.99122502428842e-05,0.000506433855677319,0.0500931321734937,0.459223186421487,0.0518712991143097,1290.87707893981,0,227.1326306729,0,1290.89546192077,0,5e-04
7,2,1,0.0175767125296396,8.20788443218791e-09,0.0166369361655503,0.000506109747234344,0.0500978422209098,0.616262860195088,0.0493882213501672,3233.06630340383,0,227.132460491607,0,1288.79500632502,0,5e-04
8,2,1,0.451116785979354,0.0519346638735627,0.00185601478975778,0.000506116326332749,0.0500821348912449,0.616311516477343,0.0493930097209807,1289.19741760309,0,227.132284645827,0,1288.79491073162,0,5e-04
9,2,1,0.0175922412275563,3.67474739489252e-10,0.0165457944359789,1.19670916076045e-05,3.79250545568297e-08,0.459698551852458,0.0518722232710532,3233.06637351665,0,3508.80324835317,0,1290.89532744898,0,5e-04
