"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.2,-3.7226292437893,-2.2690772259158,-1.58456703207737,-8.46421471622456,-2.5511297518091,-4.58581474028278,-3.70974399396736,0.206171881527818,0.468776373313441,0.102147812602501,3.38673646609926e-05,0.113965268292359,0.00336451909078207,0.0764276376886863,29.8356059070965,0,30.1351492886151,0,31.226954056881,0,30.6217185418814,0.00398107170553497
2,1,0.2,-4.35256831736521,-3.49506241896529,-2.14400312952332,-9.54328577475664,-1.66955712216889,-4.430218256086,-5.17675814216157,0.205851068260601,0.468372102924786,0.102202892218476,3.3943973458222e-05,0.114059191966033,0.000879570675553865,0.0739708481363127,29.8356042837836,0,30.1351494278926,0,31.2269539150014,0,30.6217185418814,0.00398107170553497
3,1,0.2,-5.80896214814012,-1.45035102456574,-3.07635750308033,-8.85749895077199,-2.83768267378811,-4.6978036175376,-2.86951463130133,0.20336587083677,0.465298139967452,0.102787683619955,3.39297858962646e-05,0.114065867543018,0.00770357180146756,0.0807182158579423,29.8356155874581,0,30.1351504518392,0,31.2269650374096,0,30.6217185418814,0.00398107170553497
4,1,0.2,-6.00025056966505,-1.25873564341724,-2.20905882863229,-11.0420283771558,-2.75568739246996,-5.74816615931796,-1.4290857035368,0.206224358029534,0.468708396877725,0.102076354904497,3.39237974756909e-05,0.114027003410979,0.00745085172879637,0.0804684018014834,29.8356040622036,0,30.1351482734197,0,31.226964140161,0,30.6217185418814,0.00398107170553497
5,1,0.2,-7.10671502534739,-2.78676877614446,-1.84866834807389,-10.1842790417744,-1.883394541728,-5.16684537585966,-1.32465633374628,0.205444666178723,0.467743954041998,0.102262413944908,3.39057418070748e-05,0.114005363875464,0.0182342897218902,0.0911143039432418,29.8356051713307,0,30.1351478168178,0,31.2270282561007,0,30.6217185418814,0.00398107170553497
1,2,0.2,-4.48860238519206,-3.07317278807497,-2.37953017280138,-10.0209189172502,-1.36840686471712,-5.38402242122425,-2.1949458720279,0.600141710104831,0.891560513792818,0.0543135255223597,1.81002287463823e-05,0.111093042070439,0.00699137266072474,0.100085744530881,21.8533135769291,0,22.1864191825246,0,22.3405706545231,0,21.6988381443358,0.00398107170553497
2,2,0.2,-7.15872297872264,-3.72401531079902,-3.92563080491424,-9.29806508013562,-2.06418599706357,-4.98300179007822,-3.680143642482,0.000436334412054274,0.0936103547912523,0.00697056116822792,1.81361253718492e-05,0.111122895519032,0.00135195911614592,0.0945141755190082,22.3404481896091,0,22.1864193419266,0,22.3405693781049,0,21.6988381443358,0.00398107170553497
3,2,0.2,-5.22165630366808,-2.65667251469765,-1.58157631321669,-9.57913059518867,-2.10702307376388,-5.25191617817672,-2.53047363477113,0.600369693614323,0.891686674670418,0.0542758979054067,1.81125479581765e-05,0.111109212322639,0.00454589221570748,0.0976804438743733,21.8533125310855,0,22.186419116265,0,22.3405698771184,0,21.6988381443358,0.00398107170553497
4,2,0.2,-6.04901156710938,-3.58788825519566,-1.37547385860438,-8.37296980252438,-1.93191274111339,-3.18676373359799,-2.64906738730458,0.599673512568895,0.881369490742974,0.0523099584380972,0.000162921665625707,0.376816297682023,0.0215563038110572,0.114464801885502,21.8539643615875,0,23.9774907668546,0,22.3405817188339,0,21.6988381443358,0.00398107170553497
5,2,0.2,-3.69132196968516,-4.5236756392382,-2.06812147394002,-9.28260781953281,-2.25216143753826,-5.03445163314036,-2.66317519712489,0.00115207265941434,0.125307261257762,0.496987526082091,1.81549176279339e-05,0.11113122975042,0.00511719461594088,0.0982510424290699,22.1276616947727,0,22.1864202087446,0,22.3405700901908,0,21.6988381443358,0.00398107170553497
