"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,0.8,0.0199884896998384,1.37542091961106e-19,1.08952203949931e-08,0.00147582903180399,0.0491450585179014,0.734712683342129,0.0463594860245305,4114.57879346366,0,255.425758338728,0,838.144210897571,0,0.00398107170553497
2,1,0.8,0.019987953816416,1.02467106080953e-12,9.06669189371780e-09,0.00147558086358051,0.0491486599527548,0.734744488211051,0.0463723446185588,4114.57879474894,0,255.425682730738,0,838.144197285593,0,0.00398107170553497
3,1,0.8,0.731041456930246,0.0463651249055975,0.000710342944258823,0.0014755461609586,0.0491580924929414,0.734690587860741,0.0463723720231921,837.424200679018,0,255.425678648925,0,838.144168059982,0,0.00398107170553497
4,1,0.8,0.734264252528057,0.0463707362466,7.94460173222249e-05,0.00147558088427157,0.0491474972056962,0.734544545131696,0.0463619391884167,838.063516741029,0,255.425692741978,0,838.144195337027,0,0.00398107170553497
5,1,0.8,0.734608752695448,0.0463722526250576,4.45337553567874e-11,0.00147554132545908,0.0491378517363861,0.7347143541547,0.0463641075114255,838.144152932363,0,255.425859303687,0,838.144161740649,0,0.00398107170553497
6,1,0.8,0.734558519209612,0.046372832699302,1.97522748105916e-05,1.08418809505373e-05,1.49014743689221e-08,710336.384065253,0.0409026492479558,838.124113714793,0,4517.82457305316,0,854.348849939139,0,0.00398107170553497
7,1,0.8,0.0199868987803074,2.86675031166365e-11,4.62134010503532e-08,0.00147535119307532,0.0491596425726974,0.734585003809412,0.0463724014271587,4114.57881997959,0,255.425719503295,0,838.144157138544,0,0.00398107170553497
8,1,0.8,0.734207051983734,0.0463722219100925,6.98563813735897e-05,0.00147587672829914,0.0491518038482876,0.734696763868582,0.0463764025848121,838.073277442694,0,255.425720216925,0,838.144227519294,0,0.00398107170553497
9,1,0.8,0.0199884125248271,2.32699284791771e-21,2.06724593571005e-08,0.00147510439193588,0.0491515475911021,0.734304234882618,0.0463688602123358,4114.57879808462,0,255.425806749967,0,838.144424675561,0,0.00398107170553497
10,1,0.8,0.734372602981167,0.0463639157081142,6.4827124846348e-05,1.0849773334028e-05,1.83743845217501e-10,0.73470484115435,0.0463757697912447,838.078360738696,0,4517.82416178547,0,838.144220514666,0,0.00398107170553497
11,1,0.8,0.0199866241477517,5.54451068626111e-105,2.49591885439361e-08,7.20794891154702e-33,1.62495643895955e-21,0.734722085017722,0.0463582663293748,4114.57881365676,0,4721.62001321764,0,838.144234385656,0,0.00398107170553497
12,1,0.8,0.734517440272913,0.0463685958249118,9.44655633516785e-61,0.00147580002568315,0.0491474677997642,0.73459465354655,0.0463628071542646,838.144168102277,0,255.425722387591,0,838.14416425887,0,0.00398107170553497
13,1,0.8,0.00420144678228802,0.0508849753567489,0.794998346832528,1.08488559546705e-05,3.30061044822725e-08,0.734681856768748,0.0463700392285871,235.137971896323,0,4517.82505653657,0,838.144147182576,0,0.00398107170553497
14,1,0.8,0.0199897392550983,2.77579342271532e-17,8.99376601167184e-08,0.00147504848476208,0.0491471211569196,0.734526705067248,0.0463603565202826,4114.5788301265,0,255.425875676066,0,838.14422965415,0,0.00398107170553497
1,2,0.8,0.00401439668796513,0.05036873172717,0.79865669546815,0.00143155679841875,0.0486624178107959,0.724457631427167,0.0459494577776198,244.837767635608,0,265.243676544987,0,839.231213250477,0,0.00398107170553497
2,2,0.8,0.724029611952664,0.0459560433259069,4.88777278294899e-05,0.00143180048000409,0.048664847742872,0.724387233920228,0.0459632787198849,839.183170047983,0,265.243725324931,0,839.231280662357,0,0.00398107170553497
3,2,0.8,0.724280937587027,0.0459490968976902,3.09811879407784e-12,0.00143148094363363,0.0486574951586524,0.724495110851845,0.045954544745471,839.231169435126,0,265.243688473026,0,839.231248215249,0,0.00398107170553497
4,2,0.8,0.0201780725486515,2.05424924322558e-09,6.57861067774817e-08,0.00143153481519443,0.0486567882750878,0.724369157123376,0.0459554193176204,4103.41728372944,0,265.243688540588,0,839.231164440234,0,0.00398107170553497
5,2,0.8,0.00401957197344033,0.0503784115056258,0.798482696712423,0.0014314985539334,0.0486524332594185,0.724372390031048,0.045945208236513,244.837916252859,0,265.243734394458,0,839.231215267457,0,0.00398107170553497
6,2,0.8,0.724199340737527,0.0459631825119544,6.95415181081086e-06,1.10167145962335e-05,1.47170861760783e-09,0.724238467504622,0.0459535059641671,839.224410420469,0,4515.8455864954,0,839.231163076829,0,0.00398107170553497
7,2,0.8,0.720253448381664,0.045959478339653,0.000818002959681752,0.00143131084464286,0.0486641218274825,0.72412144441791,0.0459417959787006,838.429209729995,0,265.243721465064,0,839.231415550163,0,0.00398107170553497
8,2,0.8,0.0201775175737222,1.15618259572876e-14,1.05872770910843e-07,1.10125010786112e-05,2.95829824004556e-08,0.72420992918702,0.0459512694031882,4103.41731380174,0,4515.84646159845,0,839.231184037913,0,0.00398107170553497
