"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,0,9.61958098338287,0.0185227410348798,0.129561856827536,0.0426770789021034,0.0185640824109187,0.713894146011341,1.85810439393614,347.064391180191,0,347.32840823114,0,31656.0964327281,0,1
2,1,0,2.87664958645282,0.0190123153914746,0.00149229313208831,0.0434448589185193,0.0185584642966894,0.898841517097468,2.60294393845105,344.406900900294,0,347.328532119211,0,31656.0964327281,0,1
3,1,0,0.350255770875115,0.0196662641982299,0.216574279846727,0.0094947073525079,0.0189569900371038,0.914855766588928,1.92017284169762,340.600222460722,0,343.670262556746,0,31656.0964327281,0,1
4,1,0,1.23779516479932,0.018458760750778,0.683370133246999,0.00950717959194431,0.0189549932849803,2.88720408591915,0.0190142447709054,347.637482259115,0,343.670294636713,0,344.405467266082,0,1
5,1,0,0.235751613854884,0.0195216018176194,0.302454277340473,0.0428201958486109,0.0185610034567651,0.533335491547568,4.9000530190314,340.521019365592,0,347.328331602165,0,31656.0964327281,0,1
6,1,0,0.716514985027046,0.0184377806474916,1.415850595051,0.0431534312731996,0.0185652613298824,0.192472963843103,8.05776587974423,347.841837882811,0,347.328731819957,0,31656.0964327281,0,1
7,1,0,1.02823152543765,0.01998973239537,0.000651153138058916,0.0431361714394982,0.0185621679565702,1.0329885559607,0.0199940601999976,336.276885674079,0,347.328487072933,0,336.294653932446,0,1
8,1,0,1.03742088269428,7.35804994599692,0.0541918089686889,0.0425192569887123,0.0185656902559055,1.03221331593469,0.0199962669608736,31656.0964327281,0,347.328487489661,0,336.294601334653,0,1
9,1,0,0.0103349158500111,0.0184395074700746,2.09224294186519,0.0420581990151058,0.0185651701340234,0.686018932206766,2.35581698757375,347.839846982016,0,347.328478508694,0,31656.0964327281,0,1
10,1,0,2.3831562154519,0.0190101479220619,0.0313886858473103,0.00951250493325347,0.0189616662014559,0.238329776693079,3.36412671034924,344.436908012159,0,343.670611816284,0,31656.0964327281,0,1
11,1,0,13.1716872969314,0.0184434896374371,0.478075511878619,0.0094958805749831,0.0189562142891945,0.19791230888933,0.942778136962117,347.777128479601,0,343.670251818295,0,31656.0964327281,0,1
12,1,0,2.86251601725831,0.0190106797591835,5.83206257900545e-05,0.00949740260429762,0.0189571182791841,0.240115439355762,10.8582210133707,344.405608618127,0,343.67021220439,0,31656.0964327281,0,1
13,1,0,2.84790236723407,0.0190191197282791,0.00181177705122223,0.00950558537736253,0.0189596198145997,0.154122519878852,1.1815563246356,344.406964223669,0,343.6702699435,0,31656.0964327281,0,1
14,1,0,0.606924398690436,1.38940338600979,0.713658784148356,0.0053842835943358,7.33786250120315,1.03212544277716,0.0199937454419236,31656.0964327281,0,31656.0964327281,0,336.294650707985,0,1
15,1,0,0.962725487789731,0.0184400573286415,1.16639478581718,0.0094986423236613,0.0189588077677385,0.210169748950755,1.66429462390646,347.830512743526,0,343.67020976018,0,31656.0964327281,0,1
