"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
1,1,1,0.467439496646988,0.0504270609013937,6.07637542591808e-81,1.20787275727486e-05,3.00514753248592e-09,0.467236994681742,0.0504190827935476,1259.24677165474,0,3479.91994098414,0,1259.24691480277,0,5e-04
2,1,1,0.0196514975831789,3.0227745574565e-07,0.00233915810954351,1.2078961214262e-05,3.1674178458265e-06,0.467136362219802,0.0504279913933368,3172.88837854689,0,3479.99079700284,0,1259.24687567637,0,5e-04
3,1,1,0.0196570429751841,8.66953681730438e-21,0.00228583932882638,1.2068233704689e-05,1.56474934950786e-07,0.467767294813131,0.0504261029970382,3172.8888631022,0,3479.92337710764,0,1259.24698876015,0,5e-04
4,1,1,0.000559521013850893,0.0495932675371134,0.982636110865023,0.000503007102547112,0.0492443434845156,0.467544211270177,0.0504187854495513,225.36892060425,0,225.742994041727,0,1259.24682281456,0,5e-04
5,1,1,0.000559698590037503,0.0495998513033164,0.982603347778417,1.20667551022686e-05,2.55116562096657e-08,0.467384409681804,0.0504180307515971,225.368966979594,0,3479.92050110936,0,1259.24685469832,0,5e-04
6,1,1,0.0196476656625968,5.40082201746594e-15,0.00234738046267464,1.20749602378099e-05,3.80443873000217e-06,0.467101452339218,0.0504435271119392,3172.88885888033,0,3480.00503421508,0,1259.24694679653,0,5e-04
7,1,1,0.422011910201551,0.0506428988572809,0.0117572478157948,1.20752848637797e-05,2.09570567802426e-08,0.467053297817545,0.0504407103333907,1248.91034502054,0,3479.92025455098,0,1259.24694700228,0,5e-04
8,1,1,0.0196488343333949,3.35311490598622e-29,0.00234615576549265,1.20780278403999e-05,1.49492655922285e-08,0.467379367337958,0.0504391040042354,3172.88885855171,0,3479.92018355483,0,1259.24684631131,0,5e-04
9,1,1,0.467430808788135,0.0504237048180483,5.81783148247122e-08,0.00050304947098688,0.0492566250385484,0.467833150376116,0.0504405077189519,1259.24673364892,0,225.743051059027,0,1259.24736955762,0,5e-04
10,1,1,0.0196497105462436,4.54678941814997e-08,0.00235022455705597,0.000503119578418624,0.0492274390698966,0.467466831537528,0.0504107933022926,3172.88879335236,0,225.743283004728,0,1259.24696295691,0,5e-04
11,1,1,0.000559560563270613,0.0495986118619881,0.982643641644367,1.20797461810841e-05,3.09648307428425e-08,0.467202301694405,0.0504249702622146,225.36897540638,0,3479.92060907537,0,1259.24685191911,0,5e-04
12,1,1,0.0196532666811381,3.09746172309902e-10,0.002341566871257,1.20772763216065e-05,2.62457181187656e-08,0.46753804950848,0.0504198962982549,3172.88890756527,0,3479.92041375227,0,1259.24680970108,0,5e-04
13,1,1,0.0196587655449176,5.54808062683248e-20,0.00228363749258555,1.20625482722145e-05,2.08968959592389e-06,0.467154526289478,0.0504370143356017,3172.88887806231,0,3479.96713445272,0,1259.2468513956,0,5e-04
14,1,1,0.0196388566994648,6.23938432072756e-13,0.00241512646819265,1.20816082655843e-05,9.07067103469672e-10,0.466980904079679,0.0504598359503146,3172.88887098596,0,3479.92003296529,0,1259.24741971674,0,5e-04
1,2,1,0.0177794881522906,1.70375288048487e-20,0.0166298874258364,1.21921789850163e-05,5.52294099227204e-09,0.440356843945417,0.0516195688908706,3009.22106122721,0,3288.52590034141,0,1230.24936520115,0,5e-04
2,2,1,0.0177781916988718,1.12477158354123e-10,0.016655316441838,1.2170417154671e-05,1.31392594094831e-08,0.440068781927249,0.0516139521612781,3009.22106472368,0,3288.5259549315,0,1230.24992265141,0,5e-04
3,2,1,0.440526446008283,0.0516236987201612,1.16252727264961e-06,1.21861270691188e-05,1.83312299908862e-09,0.440411090352087,0.0516089759575879,1230.24830093841,0,3288.52545021049,0,1230.24941835715,0,5e-04
4,2,1,0.000537001047923654,0.0496998779552775,0.989733066883778,1.21831404925725e-05,3.5801747562831e-09,0.440323628263633,0.0516337596574274,246.2321800436,0,3288.52540035344,0,1230.24948641523,0,5e-04
5,2,1,0.440471991027385,0.0516176462920165,7.5800677710077e-06,1.21884867939667e-05,4.12779632668583e-08,0.440570020405691,0.0516149264294866,1230.24244813763,0,3288.52638957752,0,1230.24938022899,0,5e-04
6,2,1,0.0177763318667574,6.73325500985903e-31,0.0166586120300194,1.21850682087714e-05,6.79961903894379e-09,0.44031437450689,0.0516253220260709,3009.2210630362,0,3288.52551619266,0,1230.24940405208,0,5e-04
7,2,1,0.440382167708434,0.0516244261187467,3.94949308145919e-08,1.21736698082096e-05,5.56038090661354e-09,0.440693468646985,0.0516262399902776,1230.24932194563,0,3288.5255940218,0,1230.24959473671,0,5e-04
8,2,1,0.000536886859441679,0.0497003212056925,0.989745522351576,1.21824391991429e-05,3.30091023936963e-09,0.440356938510251,0.0516358362945795,246.232162335268,0,3288.52538355157,0,1230.24951353589,0,5e-04
9,2,1,0.439390262693637,0.0516260645008306,0.000295549634974317,1.21827273206084e-05,6.72427209647984e-09,0.440744528015629,0.0516175678884113,1229.98137350547,0,3288.52545935527,0,1230.24957095602,0,5e-04
10,2,1,0.0177867224872708,8.91873965952913e-11,0.0166011971216502,1.2186984036372e-05,6.71391738689264e-08,0.440208239377409,0.051621290366221,3009.22109557782,0,3288.52685403939,0,1230.24953284592,0,5e-04
11,2,1,0.440416248152742,0.051621825475375,1.55786852754478e-15,1.21859060528761e-05,7.3140169898696e-09,0.440385149990092,0.0516294400733357,1230.24933489767,0,3288.52555636704,0,1230.24940151492,0,5e-04
12,2,1,0.440456120854801,0.0516163157465124,8.34336607673845e-07,1.2186942734226e-05,1.76837089411287e-08,0.440398569863018,0.051626773724806,1230.24856911942,0,3288.5258168517,0,1230.24936935962,0,5e-04
13,2,1,0.0177622106126255,9.00284097296507e-09,0.0167616923040431,1.2175351274457e-05,2.11303538799992e-09,0.440324549814087,0.0516218058202216,3009.22110075287,0,3288.52544735551,0,1230.24938822939,0,5e-04
14,2,1,0.0177815930016595,2.28613381459967e-33,0.0165840261472755,1.21869756804166e-05,3.85786664639054e-09,0.440567206249515,0.0516306099898076,3009.22110507059,0,3288.52552892772,0,1230.24948153175,0,5e-04
1,3,1,0.000522633403355165,0.0502123205303375,0.991118074168693,1.19514543122699e-05,7.35757911819174e-10,0.435986942253308,0.0528714125737886,219.784612897674,0,3347.29104463173,0,1261.2292846945,0,5e-04
2,3,1,0.435844877759165,0.0528590993074557,1.39000234403508e-08,1.19563273929039e-05,5.55192546792383e-08,0.435915241075917,0.052842194111748,1261.22897364075,0,3347.29226896114,0,1261.22905601424,0,5e-04
3,3,1,0.435789538627705,0.0528572828371654,1.04068221260957e-09,1.19509570896239e-05,1.26222665257014e-09,0.435997071846725,0.0528443503491322,1261.22898510111,0,3347.29105352448,0,1261.22904870181,0,5e-04
4,3,1,0.0166069870921259,4.64577549559264e-06,0.0247636278544088,1.19482622378058e-05,3.37450292114963e-08,0.436120229209319,0.0528517153785704,3079.85178141944,0,3347.29173593041,0,1261.22915487763,0,5e-04
